annee,nappe,nombre_puits,ressources_mm3,exploitation_mm3,feuille
2014,الحوض السفلي لمجردة,222,3,2.4,Feuil1
2014,سكرة,319,3,1.85,Feuil1
2014,المجموع,541,6,4.25,Feuil1
2015,الحوض السفلي لمجردة,197,3,2.0,Feuil1
2015,سكرة,319,3,1.85,Feuil1
2015,المجموع,516,6,3.85,Feuil1
2016,الحوض السفلي لمجردة,197,3,2.0,Feuil1
2016,سكرة,319,3,1.85,Feuil1
2016,المجموع,516,6,3.85,Feuil1
2017,الحوض السفلي لمجردة,197,3,2.0,Feuil1
2017,سكرة,319,3,1.85,Feuil1
2017,المجموع,516,6,3.85,Feuil1
2018,الحوض السفلي لمجردة,197,3,2.0,Feuil1
2018,سكرة,319,3,1.85,Feuil1
2018,المجموع,516,6,3.85,Feuil1
2019,الحوض السفلي لمجردة,197,3,2.0,Feuil1
2019,سكرة,319,3,1.85,Feuil1
2019,المجموع,516,6,3.85,Feuil1
2020,الحوض السفلي لمجردة,199,3,1.62,Feuil1
2020,سكرة,520,3,1.15,Feuil1
2020,المجموع,719,6,2.77,Feuil1
2021,الحوض السفلي لمجردة,199,3,1.62,Feuil1
2021,سكرة,520,3,1.15,Feuil1
2021,المجموع,719,6,2.77,Feuil1
2022,الحوض السفلي لمجردة,199,3,1.62,Feuil1
2022,سكرة,520,3,1.15,Feuil1
2022,المجموع,719,6,2.77,Feuil1
2023,الحوض السفلي لمجردة,199,3,1.62,Feuil1
2023,سكرة,520,3,1.15,Feuil1
2023,المجموع,719,6,2.77,Feuil1
2024,الحوض السفلي لمجردة,199,3,1.62,Feuil1
2024,سكرة,520,3,1.15,Feuil1
2024,المجموع,719,6,2.77,Feuil1
