annee,nappe,nombre_puits,ressources_mm3,exploitation_mm3,feuille
2014,مائدة سهل مجردة رسوبيات,15,3.0,0.22,Feuil1
2014,المائدة الكلسية لجبل النحلي,17,1.1,0.68,Feuil1
2014,المائدة  المرنة الكلسية لجبل عمار,21,0.6,0.34,Feuil1
2014,المجموع,53,4.699999999999999,1.24,Feuil1
2015,مائدة سهل مجردة رسوبيات,15,3.0,0.18,Feuil1
2015,المائدة الكلسية لجبل النحلي,17,1.1,0.46,Feuil1
2015,المائدة  المرنة الكلسية لجبل عمار,18,0.6,0.39,Feuil1
2015,المجموع,50,4.699999999999999,1.03,Feuil1
2016,مائدة سهل مجردة رسوبيات,14,3.0,0.19,Feuil1
2016,المائدة الكلسية لجبل النحلي,17,1.1,0.47,Feuil1
2016,المائدة  المرنة الكلسية لجبل عمار,18,0.6,0.39,Feuil1
2016,المجموع,49,4.699999999999999,1.0499999999999998,Feuil1
2017,مائدة سهل مجردة رسوبيات,14,3.0,0.18,Feuil1
2017,المائدة الكلسية لجبل النحلي,17,1.1,0.52,Feuil1
2017,المائدة  المرنة الكلسية لجبل عمار,19,0.6,0.42,Feuil1
2017,المجموع,50,4.699999999999999,1.1199999999999999,Feuil1
2018,مائدة سهل مجردة رسوبيات,15,3.0,0.18,Feuil1
2018,المائدة الكلسية لجبل النحلي,17,1.1,0.47,Feuil1
2018,المائدة  المرنة الكلسية لجبل عمار,19,0.6,0.38,Feuil1
2018,المجموع,51,4.699999999999999,1.0299999999999998,Feuil1
2019,مائدة سهل مجردة رسوبيات,11,3.0,0.21,Feuil1
2019,المائدة الكلسية لجبل النحلي,12,1.1,0.26,Feuil1
2019,المائدة  المرنة الكلسية لجبل عمار,17,0.6,0.25,Feuil1
2019,المجموع,40,4.699999999999999,0.72,Feuil1
2020,مائدة سهل مجردة رسوبيات,12,3.0,0.14,Feuil1
2020,المائدة الكلسية لجبل النحلي,12,1.1,0.28,Feuil1
2020,المائدة  المرنة الكلسية لجبل عمار,16,0.6,0.26,Feuil1
2020,المجموع,40,4.699999999999999,0.68,Feuil1
2021,مائدة سهل مجردة رسوبيات,17,3.0,0.14,Feuil1
2021,المائدة الكلسية لجبل النحلي,28,1.1,0.28,Feuil1
2021,المائدة  المرنة الكلسية لجبل عمار,31,0.6,0.26,Feuil1
2021,المجموع,76,4.699999999999999,0.68,Feuil1
2022,مائدة سهل مجردة رسوبيات,17,3.0,0.16,Feuil1
2022,المائدة الكلسية لجبل النحلي,28,1.1,0.31,Feuil1
2022,المائدة  المرنة الكلسية لجبل عمار,31,0.6,0.28,Feuil1
2022,المجموع,76,4.699999999999999,0.75,Feuil1
2023,مائدة سهل مجردة رسوبيات,17,3.0,0.16,Feuil1
2023,المائدة الكلسية لجبل النحلي,28,1.1,0.31,Feuil1
2023,المائدة  المرنة الكلسية لجبل عمار,31,0.6,0.28,Feuil1
2023,المجموع,76,4.699999999999999,0.75,Feuil1
2024,مائدة سهل مجردة رسوبيات,17,3.0,0.16,Feuil1
2024,المائدة الكلسية لجبل النحلي,28,1.1,0.31,Feuil1
2024,المائدة  المرنة الكلسية لجبل عمار,31,0.6,0.28,Feuil1
2024,المجموع,76,4.7,0.75,Feuil1
