date,gouvernorat,prix_min,prix_max,feuille
2024-12-08,Kairouan,,,Prix HOEV
2024-12-08,Sfax,,,Prix HOEV
2024-12-08,Sidi Bouzid,,,Prix HOEV
2024-12-09,Kairouan,,,Prix HOEV
2024-12-09,Sfax,10.5,10.5,Prix HOEV
2024-12-09,Sidi Bouzid,10.5,10.5,Prix HOEV
2024-12-10,Kairouan,,,Prix HOEV
2024-12-10,Sfax,10.0,10.5,Prix HOEV
2024-12-10,Sidi Bouzid,10.0,10.0,Prix HOEV
2024-12-11,Kairouan,,,Prix HOEV
2024-12-11,Sfax,10.0,10.0,Prix HOEV
2024-12-11,Sidi Bouzid,10.0,10.5,Prix HOEV
2024-12-12,Kairouan,,,Prix HOEV
2024-12-12,Sfax,10.0,10.0,Prix HOEV
2024-12-12,Sidi Bouzid,10.0,10.0,Prix HOEV
2024-12-13,Kairouan,,,Prix HOEV
2024-12-13,Sfax,9.0,9.5,Prix HOEV
2024-12-13,Sidi Bouzid,9.0,9.5,Prix HOEV
2024-12-14,Kairouan,,,Prix HOEV
2024-12-14,Sfax,,,Prix HOEV
2024-12-14,Sidi Bouzid,,,Prix HOEV
2024-12-15,Kairouan,,,Prix HOEV
2024-12-15,Sfax,,,Prix HOEV
2024-12-15,Sidi Bouzid,,,Prix HOEV
2024-12-16,Kairouan,,,Prix HOEV
2024-12-16,Sfax,9.3,9.3,Prix HOEV
2024-12-16,Sidi Bouzid,9.3,9.3,Prix HOEV
2024-12-17,Kairouan,,,Prix HOEV
2024-12-17,Sfax,9.0,9.0,Prix HOEV
2024-12-17,Sidi Bouzid,9.0,9.0,Prix HOEV
2024-12-18,Kairouan,,,Prix HOEV
2024-12-18,Sfax,9.0,9.0,Prix HOEV
2024-12-18,Sidi Bouzid,,,Prix HOEV
2024-12-19,Kairouan,,,Prix HOEV
2024-12-19,Sfax,9.3,9.3,Prix HOEV
2024-12-19,Sidi Bouzid,9.3,9.3,Prix HOEV
2024-12-20,Kairouan,,,Prix HOEV
2024-12-20,Sfax,9.3,9.3,Prix HOEV
2024-12-20,Sidi Bouzid,9.3,9.3,Prix HOEV
2024-12-21,Kairouan,,,Prix HOEV
2024-12-21,Sfax,10.0,10.0,Prix HOEV
2024-12-21,Sidi Bouzid,10.0,10.0,Prix HOEV
2024-12-22,Kairouan,,,Prix HOEV
2024-12-22,Sfax,10.0,10.0,Prix HOEV
2024-12-22,Sidi Bouzid,10.0,10.0,Prix HOEV
2024-12-23,Kairouan,,,Prix HOEV
2024-12-23,Sfax,10.0,10.0,Prix HOEV
2024-12-23,Sidi Bouzid,10.0,10.0,Prix HOEV
2024-12-24,Kairouan,,,Prix HOEV
2024-12-24,Sfax,9.5,9.5,Prix HOEV
2024-12-24,Sidi Bouzid,9.5,9.5,Prix HOEV
2024-12-25,Kairouan,,,Prix HOEV
2024-12-25,Sfax,9.0,9.5,Prix HOEV
2024-12-25,Sidi Bouzid,9.0,9.5,Prix HOEV
2024-12-26,Kairouan,,,Prix HOEV
2024-12-26,Sfax,9.0,9.5,Prix HOEV
2024-12-26,Sidi Bouzid,9.0,9.5,Prix HOEV
2024-12-27,Kairouan,,,Prix HOEV
2024-12-27,Sfax,9.0,9.5,Prix HOEV
2024-12-27,Sidi Bouzid,9.0,9.5,Prix HOEV
2024-12-28,Kairouan,,,Prix HOEV
2024-12-28,Sfax,,,Prix HOEV
2024-12-28,Sidi Bouzid,,,Prix HOEV
2024-12-29,Kairouan,,,Prix HOEV
2024-12-29,Sfax,,,Prix HOEV
2024-12-29,Sidi Bouzid,,,Prix HOEV
2024-12-30,Kairouan,,,Prix HOEV
2024-12-30,Sfax,9.0,9.5,Prix HOEV
2024-12-30,Sidi Bouzid,9.0,9.5,Prix HOEV
2024-12-31,Kairouan,,,Prix HOEV
2024-12-31,Sfax,10.0,10.5,Prix HOEV
2024-12-31,Sidi Bouzid,10.0,10.5,Prix HOEV
2025-01-01,Kairouan,,,Prix HOEV
2025-01-01,Sfax,,,Prix HOEV
2025-01-01,Sidi Bouzid,,,Prix HOEV
2025-01-02,Kairouan,,,Prix HOEV
2025-01-02,Sfax,,,Prix HOEV
2025-01-02,Sidi Bouzid,,,Prix HOEV
2025-01-03,Kairouan,,,Prix HOEV
2025-01-03,Sfax,10.5,11.0,Prix HOEV
2025-01-03,Sidi Bouzid,10.5,11.0,Prix HOEV
2025-01-04,Kairouan,,,Prix HOEV
2025-01-04,Sfax,10.5,11.0,Prix HOEV
2025-01-04,Sidi Bouzid,10.5,11.0,Prix HOEV
2025-01-05,Kairouan,,,Prix HOEV
2025-01-05,Sfax,10.5,11.0,Prix HOEV
2025-01-05,Sidi Bouzid,10.5,11.0,Prix HOEV
2025-01-06,Kairouan,,,Prix HOEV
2025-01-06,Sfax,10.5,11.0,Prix HOEV
2025-01-06,Sidi Bouzid,10.5,11.0,Prix HOEV
2025-01-07,Kairouan,,,Prix HOEV
2025-01-07,Sfax,10.5,11.0,Prix HOEV
2025-01-07,Sidi Bouzid,10.5,11.0,Prix HOEV
2025-01-08,Kairouan,,,Prix HOEV
2025-01-08,Sfax,11.0,11.0,Prix HOEV
2025-01-08,Sidi Bouzid,11.0,11.0,Prix HOEV
2025-01-09,Kairouan,,,Prix HOEV
2025-01-09,Sfax,11.0,11.0,Prix HOEV
2025-01-09,Sidi Bouzid,11.0,11.0,Prix HOEV
2025-01-10,Kairouan,,,Prix HOEV
2025-01-10,Sfax,11.0,11.3,Prix HOEV
