annees,delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,amelioration_parcours_avec_sulla_ha,creation_de_prairies_permanentes_ha,agroforesterie_ha,feuille
2018,سجنان,المعالية,0.0,0.0,10.0,90,30.0,Feuil1
2018,سجنان,سجنان,0.0,0.0,17.0,0,31.5,Feuil1
2018,سجنان,المشارقة,0.0,0.0,0.0,0,34.75,Feuil1
2018,سجنان,العبابسة,0.0,5.0,0.0,0,5.5,Feuil1
2018,سجنان,السحابنة,0.0,10.0,12.0,0,45.25,Feuil1
2018,سجنان,امادن,0.0,0.0,0.0,0,62.75,Feuil1
2018,سجنان,سيدي مشرق,0.0,0.0,0.0,0,26.5,Feuil1
2018,سجنان,الحشاشنة,0.0,0.0,0.0,0,13.5,Feuil1
2018,غزالة,اولاد المي,0.0,10.0,16.0,0,25.0,Feuil1
2018,غزالة,العرب,0.0,15.0,16.0,0,25.25,Feuil1
2018,جومين,الطواجنية,0.0,15.0,16.0,0,19.25,Feuil1
2018,جومين,بازينة,0.0,5.0,14.0,0,29.0,Feuil1
2018,جومين,اولاد غانم,0.0,0.0,14.0,0,26.25,Feuil1
2018,جومين,الشنانة,0.0,10.0,14.0,0,32.25,Feuil1
2018,جومين,رواحة,0.0,10.0,14.0,0,25.25,Feuil1
2017,سجنان,المعالية,0.0,0.0,11.4,135,16.5,Feuil1
2017,سجنان,سجنان,0.0,0.0,6.6,0,13.5,Feuil1
2017,سجنان,المشارقة,0.0,0.0,6.4,0,16.5,Feuil1
2017,سجنان,العبابسة,0.0,0.0,3.2,0,11.5,Feuil1
2017,سجنان,السحابنة,0.0,0.0,20.0,0,16.5,Feuil1
2017,سجنان,امادن,0.0,0.0,0.0,0,13.5,Feuil1
2017,سجنان,سيدي مشرق,0.0,0.0,0.0,0,13.5,Feuil1
2017,سجنان,الحشاشنة,0.0,0.0,0.0,0,11.5,Feuil1
2017,غزالة,اولاد المي,0.0,0.0,0.0,0,17.0,Feuil1
2017,غزالة,العرب,0.7,5.0,0.0,0,17.0,Feuil1
2017,جومين,الطواجنية,3.6,9.0,28.0,0,24.0,Feuil1
2017,جومين,بازينة,0.0,0.0,18.0,0,18.0,Feuil1
2017,جومين,اولاد غانم,1.6,6.2,22.4,0,25.0,Feuil1
2017,جومين,الشنانة,5.6,10.0,24.0,0,18.0,Feuil1
2017,جومين,رواحة,0.0,0.0,20.0,0,18.0,Feuil1
