campagne,activite,production_q,productivite_q_ha,superficie_ha,feuille
2021-2022,البصل,3300,30,110,Feuil1
2021-2022,الثوم,245,7,35,Feuil1
2021-2022,السفنارية,5100,30,170,Feuil1
2021-2022,اللفت,1100,20,55,Feuil1
2021-2022,البسباس,4250,25,170,Feuil1
2021-2022,البروكلو والكرنب,150,15,10,Feuil1
2021-2022,القنارية,30,15,2,Feuil1
2021-2022,الجلبانة,50,5,10,Feuil1
2021-2022,الفول,315,7,45,Feuil1
2021-2022,الخص والسلاطة,1100,20,55,Feuil1
2021-2022,المعدنوس,2750,25,110,Feuil1
2021-2022,الكلافس,875,25,35,Feuil1
2021-2022,السلق,1750,25,70,Feuil1
2021-2022,السبناخ,1875,25,75,Feuil1
2021-2022,أنواع أخرى,600,15,40,Feuil1
