campagne,activite,production_q,superficie_ha,feuille
2021-2022,خضر شتوية وربيعية,24580,1187,Feuil1
2021-2022,خضر صيفية,69295,1700,Feuil1
2021-2022,خضر أخر فصلية,220,14,Feuil1
2021-2022,البطاطا بالمرتفعات,1000,50,Feuil1
2021-2022,المجموع,95095,2951,Feuil1
