annee,1993,1994,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,feuille
Tunis,11100.0,9400.0,9970.0,9460.0,9150.0,8580.0,8390,8510,8950,7320,7750,8080,8590,8590,10710,14180,16800,18800,14040,17240,17610,18880,17500,16100,Feuil1
Ariana,101520.0,66100.0,93080.0,102480.0,87670.0,93380.0,21000,33580,28280,32150,31860,37620,35770,35770,40010,41320,39100,41100,30470,32790,31150,32400,29950,34500,Feuil1
Manouba,,,,,,,48280,53790,52000,56000,66400,74400,75730,75730,83580,82300,80800,74000,76200,75650,76000,82000,86000,98700,Feuil1
Ben Arous,62030.0,57700.0,48450.0,53410.0,42630.0,42630.0,41330,43140,41330,41330,44490,46420,47800,47800,46940,46950,49280,51100,42640,41270,47370,45700,46450,51390,Feuil1
Nabeul,285150.0,184600.0,178600.0,181310.0,178790.0,185700.0,188010,191510,191070,214300,244830,261400,269120,269120,244260,250000,236000,238830,235290,235400,235500,224020,210000,211000,Feuil1
Bizerte,175000.0,272800.0,255260.0,302230.0,295280.0,287460.0,276060,277020,251890,244400,250740,274120,265540,265540,263700,246210,233290,233400,222300,217620,194880,199670,202180,219540,Feuil1
Béja,385000.0,322800.0,320580.0,300600.0,323660.0,368490.0,454060,416980,395600,408050,414170,431110,437050,437050,435710,446510,399400,362920,366760,369580,370430,357560,341440,343800,Feuil1
Jendouba,208400.0,211000.0,197020.0,189500.0,188830.0,183770.0,183820,181290,185870,183370,187320,194250,206160,206160,214870,216180,226320,225500,231920,232150,230700,232550,223710,213110,Feuil1
Kef,490000.0,579100.0,619780.0,591210.0,623590.0,653640.0,656840,634150,527750,593300,615400,606850,607300,607300,589100,596900,556300,543700,439850,461500,461898,481840,500850,501090,Feuil1
Siliana,775200.0,492000.0,507800.0,506220.0,507280.0,583770.0,603660,522740,506090,533010,610240,604320,643530,643530,669000,683760,703000,686000,742000,740000,580000,494000,410000,404000,Feuil1
Zaghouan,328120.0,224000.0,283240.0,239250.0,326590.0,386510.0,317040,401980,385150,389580,394920,371280,373900,373900,371000,387450,379400,380680,358060,361580,365290,366630,370260,371950,Feuil1
Sousse,214890.0,215000.0,181900.0,184880.0,197100.0,203300.0,196000,193500,160800,198500,182500,216000,239000,239000,267200,285720,274700,308400,315250,286000,293623,254530,260010,276050,Feuil1
Monastir,257910.0,109600.0,121780.0,135200.0,128520.0,119900.0,114880,120340,107410,112770,122860,123430,122960,122960,95780,91090,87870,89970,98440,102820,105390,117280,125850,134800,Feuil1
Mahdia,77390.0,244200.0,308600.0,254650.0,182230.0,177000.0,173050,177600,178500,165000,173250,180400,188450,188450,192100,190100,184100,185850,195650,199200,203100,229500,239000,235420,Feuil1
Sfax,374900.0,380800.0,330000.0,330900.0,350770.0,368000.0,344030,339500,386100,393310,394400,425370,420900,420900,442200,434500,315000,285000,256500,274780,279460,280000,283210,286040,Feuil1
Kairouan,692590.0,565300.0,561650.0,649440.0,589460.0,572910.0,535460,583450,574900,591220,601370,740330,718960,718960,649050,661700,642030,637640,634970,634700,718600,718670,720220,729230,Feuil1
Kasserine,719860.0,470300.0,465720.0,505930.0,535300.0,593270.0,533610,559260,590240,668450,685710,684980,699530,699530,650740,647610,626100,642940,639570,619390,567450,562500,537350,548000,Feuil1
Sidi Bouzid,738150.0,705300.0,934490.0,627830.0,624680.0,613080.0,610110,575000,585160,594200,605380,625510,663620,663620,665590,671550,674500,671000,633500,635000,663000,662200,582000,537000,Feuil1
Gafsa,275110.0,275100.0,345620.0,341520.0,341520.0,391520.0,391230,390030,389860,416300,446550,420580,416780,416780,388400,363490,363500,343880,341550,323780,190010,185430,202300,201204,Feuil1
Gabès,374680.0,262900.0,344580.0,368810.0,298000.0,314100.0,367200,327800,292000,344950,354920,358600,369500,369500,324580,305270,305590,294240,260130,220370,240270,245130,247090,250000,Feuil1
Medenine,274950.0,274000.0,289410.0,306510.0,309710.0,304270.0,310510,313340,315370,313620,315000,317460,318610,318610,310000,232090,270790,175900,371630,368660,232550,278560,321860,321860,Feuil1
Tozeur,54100.0,52000.0,56850.0,55600.0,55000.0,60000.0,65000,60010,60500,61000,62000,61000,65000,65000,60000,58000,53000,52000,46150,47200,65000,60500,93080,113000,Feuil1
Kébili,134700.0,64000.0,83300.0,65000.0,133650.0,150680.0,150680,150730,116000,100010,101000,100000,106190,106190,104900,96810,96600,89410,79400,81500,90100,110000,107400,115000,Feuil1
Tatouine,99080.0,99100.0,280000.0,242170.0,246840.0,264290.0,270320,278100,282400,286520,300330,320280,318360,318360,242210,184380,185170,170160,223250,227500,230780,246090,248360,257230,Feuil1
