campagne_agricole,culture,conduite_culturale,superficie_cultivee_hectares,production_tonnes,feuille
2017/2018,القرط,en sec,1000.0,4500,Feuil1
2017/2018,السيلاج,en sec,0.0,0,Feuil1
2017/2018,الاعلاف الخضراء,en sec,63.0,2205,Feuil1
2017/2018,القرط,en irrigué,20.0,100,Feuil1
2017/2018,السيلاج,en irrigué,0.0,0,Feuil1
2017/2018,الاعلاف الخضراء,en irrigué,32.0,1280,Feuil1
2018/2019,القرط,en sec,1050.0,5250,Feuil1
2018/2019,السيلاج,en sec,0.0,0,Feuil1
2018/2019,الاعلاف الخضراء,en sec,66.0,2310,Feuil1
2018/2019,القرط,en irrigué,0.0,0,Feuil1
2018/2019,السيلاج,en irrigué,0.0,0,Feuil1
2018/2019,الاعلاف الخضراء,en irrigué,72.0,2880,Feuil1
2019/2020,القرط,en sec,1050.0,4725,Feuil1
2019/2020,السيلاج,en sec,0.0,0,Feuil1
2019/2020,الاعلاف الخضراء,en sec,55.0,1650,Feuil1
2019/2020,القرط,en irrigué,0.0,0,Feuil1
2019/2020,السيلاج,en irrigué,0.0,0,Feuil1
2019/2020,الاعلاف الخضراء,en irrigué,117.5,4025,Feuil1
2020/2021,القرط,en sec,1050.0,6300,Feuil1
2020/2021,السيلاج,en sec,0.0,0,Feuil1
2020/2021,الاعلاف الخضراء,en sec,99.0,3465,Feuil1
2020/2021,القرط,en irrigué,0.0,0,Feuil1
2020/2021,السيلاج,en irrigué,0.0,0,Feuil1
2020/2021,الاعلاف الخضراء,en irrigué,20.0,800,Feuil1
2021/2022,القرط,en sec,1050.0,6300,Feuil1
2021/2022,السيلاج,en sec,0.0,0,Feuil1
2021/2022,الاعلاف الخضراء,en sec,61.0,2125,Feuil1
2021/2022,القرط,en irrigué,0.0,0,Feuil1
2021/2022,السيلاج,en irrigué,0.0,0,Feuil1
2021/2022,الاعلاف الخضراء,en irrigué,94.5,3475,Feuil1
2022/2023,القرط,en sec,1000.0,2100,Feuil1
2022/2023,السيلاج,en sec,0.0,0,Feuil1
2022/2023,الاعلاف الخضراء,en sec,35.0,200,Feuil1
2022/2023,القرط,en irrigué,0.0,0,Feuil1
2022/2023,السيلاج,en irrigué,0.0,0,Feuil1
2022/2023,الاعلاف الخضراء,en irrigué,50.5,750,Feuil1
