nom_du_barrage,delegation,capacite_de_stockage_million_m3,quantite_stockee_million_m3,feuille
جوميــــــن,جومين,118.77,17.99,Feuil1
سجنـــــــان,سجنان,134.01,37.224,Feuil1
غزالــــــــة,غزالة,10.0,0.692,Feuil1
الزياتيـــــن,سجنان,33.0,11.643,Feuil1
الحركــــــة,سجنان,30.3,7.082,Feuil1
القمقــــــوم,سجنان,18.3,14.938,Feuil1
الطين,ماطر,34.0,2.572,Feuil1
المالح,غزالة,41.0,1.567,Feuil1
الدويميس,بنزرت الجنوبية,45.0,,Feuil1
Total,,464.38,93.708,Feuil1
