annee,sources_de_financement,avantages_totaux_accordes_dinars,subventions_dinars,credits_dinars,autofinancement_dinars,investissement_total_dinars,nombre_de_beneficiaires,feuille
2022,Fonds spécial de développement agricole et de la pêche,2793449.741,2793449.741,0,3404926.17,6198375.911,1008,Feuil1
2022,Banque Tunisienne de Solidarité (BTS),8415.0,2355.0,6060,935.0,9350.0,1,Feuil1
2022,Total,2801864.741,2795804.741,6060,3405861.17,6207725.911,1009,Feuil1
2023,Fonds spécial de développement agricole et de la pêche,1633686.301,1633686.301,0,1923674.364,3557360.665,662,Feuil1
2023,Banque Tunisienne de Solidarité (BTS),6750.0,2250.0,4500,750.0,7500.0,1,Feuil1
2023,Total,1640436.301,1635936.301,4500,1924424.364,3564860.665,663,Feuil1
