annee,sources_de_financement,avantages_totaux_accordes_dinars,subventions_dinars,credits_dinars,autofinancement_dinars,investissement_total_dinars,nombre_de_beneficiaires,feuille
2022,Agence de Promotion des Investissements Agricoles,6694000.0,6694000.0,0,15811000.0,22505000.0,182,Feuil1
2022,Total,9495864.741,9489804.741,6060,19216861.17,28712725.911,1191,Feuil1
2023,Agence de Promotion des Investissements Agricoles,7043000.0,5931000.0,1112000,10256000.0,17299000.0,166,Feuil1
2023,Total,8683436.301,7566936.301,1116500,12180424.364,20863860.665,829,Feuil1
