annee,delegation,aviculture_1000_unites,cuniculture_unites,apiculture_ruches,bovins_nombre_tete,ovins_nombre_tete,caprins_nombre_tete,camelides_nombre_tete,code_geographique,feuille
2021,المنيهلة,0.0,0.0,150.0,332.0,2415.0,356.0,0,1257.0,Feuil1
2021,المجمـوع,568.0,0.0,4492.0,17530.0,36250.0,2546.0,0,,Feuil1
2022,أريانة المدينة,0.0,0.0,0.0,0.0,0.0,0.0,0,1251.0,Feuil1
2022,سكرة,0.0,0.0,350.0,1064.0,1337.0,156.0,0,1252.0,Feuil1
2022,رواد,0.0,0.0,500.0,1737.0,5521.0,170.0,0,1253.0,Feuil1
2022,قلعة الأندلس,0.0,0.0,320.0,11427.0,23166.0,700.0,0,1254.0,Feuil1
2022,سيدي ثابت,661.0,60.0,300.0,2344.0,11545.0,437.0,0,1255.0,Feuil1
2022,حي التضامن,0.0,0.0,0.0,0.0,0.0,0.0,0,1256.0,Feuil1
2022,المنيهلة,0.0,0.0,0.0,414.0,2535.0,150.0,0,1257.0,Feuil1
2022,المجمـوع,661.0,60.0,1470.0,16986.0,44104.0,1613.0,0,,Feuil1
2023,أريانة المدينة,0.0,0.0,0.0,0.0,0.0,0.0,0,1251.0,Feuil1
2023,سكرة,0.0,0.0,350.0,945.0,1350.0,170.0,0,1252.0,Feuil1
2023,رواد,0.0,0.0,530.0,1751.0,6980.0,180.0,0,1253.0,Feuil1
2023,قلعة الأندلس,0.0,0.0,340.0,10679.0,24322.0,396.0,0,1254.0,Feuil1
2023,سيدي ثابت,794.0,78.0,280.0,1952.0,8370.0,450.0,0,1255.0,Feuil1
2023,حي التضامن,0.0,0.0,0.0,0.0,0.0,0.0,0,1256.0,Feuil1
2023,المنيهلة,0.0,0.0,0.0,673.0,3078.0,414.0,0,1257.0,Feuil1
2023,المجمـوع,794.0,78.0,1500.0,16000.0,44100.0,1610.0,0,,Feuil1
2024,أريانة المدينة,0.0,0.0,0.0,0.0,0.0,0.0,0,1251.0,Feuil1
2024,سكرة,0.0,0.0,630.0,768.0,1347.0,264.0,0,1252.0,Feuil1
2024,رواد,0.0,43.0,715.0,1423.0,6964.0,279.0,0,1253.0,Feuil1
2024,قلعة الأندلس,0.0,171.0,894.0,8676.0,24266.0,615.0,0,1254.0,Feuil1
2024,سيدي ثابت,794.0,0.0,793.0,1586.0,8351.0,698.0,0,1255.0,Feuil1
2024,حي التضامن,0.0,0.0,0.0,0.0,0.0,0.0,0,1256.0,Feuil1
2024,المنيهلة,0.0,0.0,0.0,547.0,3072.0,644.0,0,1257.0,Feuil1
2024,المجمـوع,794.0,214.0,3032.0,13000.0,44000.0,2500.0,0,,Feuil1
