المعتمدية,2020,2021,2022,feuille
المهدية,655,760,670,Feuil1
بومرداس,985,1150,1100,Feuil1
أولاد الشامخ,410,480,470,Feuil1
شربان,330,380,410,Feuil1
هبيرة,255,300,320,Feuil1
السواسي,730,850,710,Feuil1
الجم,385,450,570,Feuil1
الشابة,105,120,140,Feuil1
ملولش,800,930,710,Feuil1
سيدي علوان,505,590,570,Feuil1
قصور الساف,400,465,430,Feuil1
المجموع,5560,6475,6100,Feuil1
