annees,export,import,solde,feuille
2011,2126.3,2828.3,-702.0,BCA (MD)
2012,2065.4,3151.3,-1085.9,BCA (MD)
2013,2431.3,3544.9,-1113.6,BCA (MD)
2014,2048.8,3429.3,-1380.5,BCA (MD)
2015,3647.0,3692.9,-45.90000000000009,BCA (MD)
2016,2736.4,3812.1,-1075.6999999999998,BCA (MD)
2017,3299.6,4654.2,-1354.6,BCA (MD)
2018,4885.8,5386.8,-501.0,BCA (MD)
2019,4251.9,5650.1,-1398.2000000000007,BCA (MD)
2020,4850.6,5710.0,-859.3999999999996,BCA (MD)
2021,4569.6,6516.0,-1946.3999999999996,BCA (MD)
2022,6033.784204186,8025.476754957772,-1991.6925507717715,BCA (MD)
2023,7316.632196208,7528.015139048,-211.3829428399995,BCA (MD)
2024,8473.978454755,7069.79661579,1404.1818389650007,BCA (MD)
