annee,ble_dur_dinar_qx,ble_tendre_dinar_qx,orge_dur_dinar_qx,ble_triticale_dinar_qx,feuille
2008,55,45,40,40,Feuil1
2009,58,45,40,40,Feuil1
2010,58,45,40,40,Feuil1
2011,60,45,42,42,Feuil1
2012,60,45,42,42,Feuil1
2013,60,45,42,42,Feuil1
2014,65,48,46,46,Feuil1
2015,70,52,48,48,Feuil1
2016,70,52,48,48,Feuil1
2017,75,54,50,50,Feuil1
2018,75,54,50,50,Feuil1
2019,82,59,53,53,Feuil1
