annee,ble_dur_dinar_qx,ble_tendre_dinar_qx,orge_dur_dinar_qx,ble_triticale_dinar_qx,feuille
1999,28.5,25.0,17,17,Feuil1
2000,29.5,26.0,17,17,Feuil1
2001,29.5,26.0,17,17,Feuil1
2002,29.5,26.0,17,17,Feuil1
2003,29.5,26.0,17,17,Feuil1
2004,29.5,26.0,17,17,Feuil1
2005,30.5,27.0,18,18,Feuil1
2006,30.5,27.0,18,18,Feuil1
2007,32.782,28.732,20,20,Feuil1
2008,40.0,35.0,30,30,Feuil1
2009,43.0,35.0,30,30,Feuil1
2010,43.0,35.0,30,30,Feuil1
2011,43.0,35.0,30,30,Feuil1
2012,43.0,35.0,30,30,Feuil1
2013,43.0,35.0,30,30,Feuil1
2014,48.0,38.0,34,34,Feuil1
2015,53.0,42.0,36,36,Feuil1
2016,53.0,42.0,36,36,Feuil1
2017,58.0,44.0,38,38,Feuil1
2018,58.0,44.0,38,38,Feuil1
2019,62.0,47.0,40,40,Feuil1
