annee,delegation,nombre_des_puits,ressources_en_million_m3,exploitation_en_million_m3,feuille
2022,Grombalia,8819,51.0,106.03,Feuil1
2022,Takilsa,903,12.0,12.63,Feuil1
2022,El Haouaria,5364,35.0,46.23,Feuil1
2022,Littoral du Cap bon,9520,50.0,59.86,Feuil1
2022,Nabeul _Hammamet,3996,25.0,20.32,Feuil1
2022,Tazogran,855,10.0,8.01,Feuil1
2023,Grombalia,8827,,,Feuil1
2023,Takilsa,918,,,Feuil1
2023,El Haouaria,5370,,,Feuil1
2023,Littoral du Cap bon,9584,,,Feuil1
2023,Nabeul _Hammamet,3999,,,Feuil1
2023,Tazogran,855,,,Feuil1
2024,Grombalia,8830,51.0,106.05,Feuil1
2024,Takilsa,920,12.0,12.85,Feuil1
2024,El Haouaria,5375,35.0,46.31,Feuil1
2024,Littoral du Cap bon,9615,50.0,60.16,Feuil1
2024,Nabeul - Hammamet,4002,25.0,21.13,Feuil1
2024,Tazogran,855,10.0,8.01,Feuil1
