nom_gda,annee_creation,delegation,vocation,nombre_famille_beneficiaire_2022,feuille
Bouladhiab,1990-01-23,Agreb,Eau potable,871,Eau potable
El Faleg,1990-03-08,Agreb,Eau potable,26,Eau potable
Erraghia,1994-08-08,Agreb,Eau potable,195,Eau potable
El msadgua,1994-08-08,Agreb,Eau potable,150,Eau potable
Zeliana,2000-01-31,Agreb,Eau potable,356,Eau potable
El mahrougua,1992-04-24,Agreb,Eau potable,125,Eau potable
Ejbarna,1992-04-24,Agreb,Eau potable,22,Eau potable
Esswaed,1997-07-12,Agreb,Eau potable,125,Eau potable
Gargour nouveau,2005-10-19,Agreb,Eau potable,1676,Eau potable
El Frajenia,2007-04-12,Agreb,Eau potable,160,Eau potable
El Fguahia,2008-07-31,Agreb,Eau potable,229,Eau potable
El Attatcha,2008-03-24,Agreb,Eau potable,380,Eau potable
Sidi Dhaher 2,1993-02-02,Bir Ali,Eau potable,260,Eau potable
El Jouarna - Margoug,1997-07-12,Bir Ali,Eau potable,239,Eau potable
Eltbinat,1992-04-24,Bir Ali,Eau potable,156,Eau potable
El Ghandoul,1990-02-08,Bir Ali,Eau potable,415,Eau potable
El wafa,1990-02-08,Bir Ali,Eau potable,260,Eau potable
El kraima,1990-01-03,Bir Ali,Eau potable,519,Eau potable
Ellataifa 1,1990-02-08,Bir Ali,Eau potable,176,Eau potable
Errwached,1994-08-08,Bir Ali,Eau potable,288,Eau potable
Ouedrane nord,1990-03-07,Bir Ali,Eau potable,312,Eau potable
Om Echoucha,1990-03-07,Bir Ali,Eau potable,394,Eau potable
EL Abraj,1995-06-28,Bir Ali,Eau potable,417,Eau potable
Ras Fartout,1995-06-28,Bir Ali,Eau potable,312,Eau potable
El Fouaz,1997-07-12,Bir Ali,Eau potable,104,Eau potable
El Awaynia,1997-07-12,Bir Ali,Eau potable,104,Eau potable
Wedrane Sud,1997-07-12,Bir Ali,Eau potable,622,Eau potable
Ras Essouinia,1997-11-12,Bir Ali,Eau potable,260,Eau potable
El Hajej Ouled Omor,1997-07-12,Bir Ali,Eau potable,260,Eau potable
El khmayssa,1991-01-22,Bir Ali,Eau potable,104,Eau potable
Sdiret,2014-03-11,Bir Ali,Eau potable,985,Eau potable
Errbayaa,2000-01-31,Bir Ali,Eau potable,773,Eau potable
El Hnancha,2001-11-27,Bir Ali,Eau potable,104,Eau potable
Elttayfa 2,2010-06-07,Bir Ali,Eau potable,633,Eau potable
