annee,superficie,feuille
1993,13750,Feuil1
1994,13900,Feuil1
1995,14100,Feuil1
1996,14600,Feuil1
1997,15050,Feuil1
1998,15300,Feuil1
1999,15600,Feuil1
2000,16150,Feuil1
2001,16500,Feuil1
2002,16800,Feuil1
2003,17000,Feuil1
2004,17300,Feuil1
2005,17900,Feuil1
2006,19250,Feuil1
2007,19250,Feuil1
2008,20000,Feuil1
2009,20750,Feuil1
2010,22950,Feuil1
2011,23605,Feuil1
2012,24000,Feuil1
2013,24450,Feuil1
2014,25000,Feuil1
2015,25650,Feuil1
2016,27000,Feuil1
2017,27350,Feuil1
2018,28000,Feuil1
2019,28000,Feuil1
2020,28000,Feuil1
2021,28500,Feuil1
2022,27769,Feuil1
2023,27800,Feuil1
2024,26500,Feuil1
2025,26400,Feuil1
