nombre_agriculteurs_engraisseurs,delegations,annee_entree_activite,moyenne_duree_activite_ans,effectif_tetes_triees,effectif_tetes_abattues,feuille
1,Agareb,2013,12,17,0,Feuil3
8,Amra,2018-2023,4,330,155,Feuil3
1,Bir Ali,2018,7,21,0,Feuil3
3,Djbéniana,2019-2020,5,69,15,Feuil3
1,Hencha,2022,3,0,1,Feuil3
9,Kerkennah,2019-2023,4,103,47,Feuil3
3,Mahrès,2013-2023,6,206,79,Feuil3
6,Menzel Chaker,2014-2023,3,398,151,Feuil3
21,S Eddayer,2008-2023,6,969,460,Feuil3
18,S Ezzit,2011-2023,5,1003,526,Feuil3
16,S sud,2008-2023,6,1563,677,Feuil3
5,Tina,2017-2022,5,142,53,Feuil3
