annee,client,zone,tarif_vente_eau_par_secadenord_millime,feuille
2018,CRDA-Jendouba,Jendouba,57.41,Feuil1
2018,CRDA-Ariana,Ariana,52.41,Feuil1
2018,CRDA-Bizerte,Complexe Kalaat El Andalous,56.41,Feuil1
2018,CRDA-Bizerte,Complexe Sejnane Joumine,21.41,Feuil1
2018,CRDA-Monastir,Monastir,56.41,Feuil1
2018,CRDA Sousse,Sousse,54.41,Feuil1
2018,CRDA Kairouan,Kairouan,54.41,Feuil1
2018,CRDA Mahdia,Mahdia,54.41,Feuil1
2019,SONEDE,Ghdir El golla,53.67,Feuil1
2019,SONEDE,Belly,56.17,Feuil1
2019,SONEDE,Bizerte,53.67,Feuil1
2019,CRDA-Tunis,Tunis,39.41,Feuil1
2019,CRDA-Ben-Arous,Ben-arous,43.41,Feuil1
2019,CRDA-Nabeul,,40.41,Feuil1
2019,CRDA-Béja,Borj Ettoumi,72.41,Feuil1
2019,CRDA-Béja,Kliwa,72.41,Feuil1
2019,CRDA-Béja,Teffeha,105.41,Feuil1
2019,CRDA-Béja,Griaat,110.41,Feuil1
2019,CRDA-Béja,Sidi Ismail,57.41,Feuil1
2019,CRDA-Béja,Nefza,39.41,Feuil1
2019,CRDA-Béja,Tbordga,39.41,Feuil1
2019,CRDA-Manouba,Manouba,72.41,Feuil1
2019,CRDA-Jendouba,Jendouba,57.41,Feuil1
2019,CRDA-Ariana,Ariana,52.41,Feuil1
2019,CRDA-Bizerte,Complexe Kalaat El Andalous,56.41,Feuil1
2019,CRDA-Bizerte,Complexe Sejnane Joumine,21.41,Feuil1
2019,CRDA-Monastir,Monastir,56.41,Feuil1
2019,CRDA Sousse,Sousse,54.41,Feuil1
2019,CRDA Kairouan,Kairouan,54.41,Feuil1
2019,CRDA Mahdia,Mahdia,54.41,Feuil1
2020,SONEDE,Ghdir El golla,53.67,Feuil1
2020,SONEDE,Belly,56.17,Feuil1
2020,SONEDE,Bizerte,53.67,Feuil1
2020,CRDA-Tunis,Tunis,39.41,Feuil1
2020,CRDA-Ben-Arous,Ben-Arous,43.41,Feuil1
2020,CRDA-Nabeul,,40.41,Feuil1
2020,CRDA-Béja,Borj Ettoumi,72.41,Feuil1
2020,CRDA-Béja,Kliwa,72.41,Feuil1
2020,CRDA-Béja,Teffeha,105.41,Feuil1
2020,CRDA-Béja,Griaat,110.41,Feuil1
2020,CRDA-Béja,Sidi Ismail,57.41,Feuil1
2020,CRDA-Béja,Nefza,39.41,Feuil1
2020,CRDA-Béja,Tbordga,39.41,Feuil1
2020,CRDA-Manouba,Manouba,72.41,Feuil1
2020,CRDA-Jendouba,Jendouba,57.41,Feuil1
2020,CRDA-Ariana,Ariana,52.41,Feuil1
2020,CRDA-Bizerte,Complexe Kalaat El Andalous,56.41,Feuil1
2020,CRDA-Bizerte,Complexe Sejnane Joumine,21.41,Feuil1
2020,CRDA-Monastir,Monastir,56.41,Feuil1
2020,CRDA Sousse,Sousse,54.41,Feuil1
2020,CRDA Kairouan,Kairouan,54.41,Feuil1
2020,CRDA Mahdia,Mahdia,54.41,Feuil1
2021,SONEDE,Ghdir El golla,53.67,Feuil1
2021,SONEDE,Belly,56.17,Feuil1
2021,SONEDE,Bizerte,53.67,Feuil1
2021,CRDA-Tunis,Tunis,39.41,Feuil1
2021,CRDA-Ben-Arous,Ben-Arous,43.41,Feuil1
2021,CRDA-Nabeul,,40.41,Feuil1
2021,CRDA-Béja,Borj Ettoumi,72.41,Feuil1
2021,CRDA-Béja,Kliwa,72.41,Feuil1
2021,CRDA-Béja,Teffeha,105.41,Feuil1
2021,CRDA-Béja,Griaat,110.41,Feuil1
2021,CRDA-Béja,Sidi Ismail,57.41,Feuil1
2021,CRDA-Béja,Nefza,39.41,Feuil1
2021,CRDA-Béja,Tbordga,39.41,Feuil1
2021,CRDA-Manouba,Manouba,72.41,Feuil1
2021,CRDA-Jendouba,Jendouba,57.41,Feuil1
2021,CRDA-Ariana,Ariana,52.41,Feuil1
2021,CRDA-Bizerte,Complexe Kalaat El Andalous,56.41,Feuil1
2021,CRDA-Bizerte,Complexe Sejnane Joumine,21.41,Feuil1
2021,CRDA-Monastir,Monastir,56.41,Feuil1
2021,CRDA Sousse,Sousse,54.41,Feuil1
2021,CRDA Kairouan,Kairouan,54.41,Feuil1
2021,CRDA Mahdia,Mahdia,54.41,Feuil1
2022,SONEDE,Ghdir El golla,68.69,Feuil1
2022,SONEDE,Belly,71.19,Feuil1
2022,SONEDE,Bizerte,68.69,Feuil1
2022,CRDA-Tunis,Tunis,54.42999999999999,Feuil1
2022,CRDA-Ben-Arous,Ben-Arous,58.42999999999999,Feuil1
2022,CRDA-Nabeul,,55.42999999999999,Feuil1
2022,CRDA-Béja,Borj Ettoumi,87.42999999999999,Feuil1
2022,CRDA-Béja,Kliwa,87.42999999999999,Feuil1
2022,CRDA-Béja,Teffeha,120.43,Feuil1
2022,CRDA-Béja,Griaat,125.43,Feuil1
2022,CRDA-Béja,Sidi Ismail,72.42999999999999,Feuil1
2022,CRDA-Béja,Nefza,54.42999999999999,Feuil1
2022,CRDA-Béja,Tbordga,54.42999999999999,Feuil1
2022,CRDA-Manouba,Manouba,87.42999999999999,Feuil1
2022,CRDA-Jendouba,Jendouba,72.42999999999999,Feuil1
2022,CRDA-Ariana,Ariana,67.42999999999999,Feuil1
2022,CRDA-Bizerte,Complexe Kalaat El Andalous,71.42999999999999,Feuil1
2022,CRDA-Bizerte,Complexe Sejnane Joumine,36.43,Feuil1
2022,CRDA-Monastir,Monastir,71.42999999999999,Feuil1
2022,CRDA Sousse,Sousse,69.42999999999999,Feuil1
2022,CRDA Kairouan,Kairouan,69.42999999999999,Feuil1
2022,CRDA Mahdia,Mahdia,69.42999999999999,Feuil1
2023,SONEDE,Ghdir El golla,63.67,Feuil1
2023,SONEDE,Belly,66.17,Feuil1
2023,SONEDE,Bizerte,68.69,Feuil1
2023,CRDA-Tunis,Tunis,49.41,Feuil1
2023,CRDA-Ben-Arous,Ben-Arous,53.41,Feuil1
2023,CRDA-Nabeul,,50.41,Feuil1
2023,CRDA-Béja,Borj Ettoumi,82.41,Feuil1
2023,CRDA-Béja,Kliwa,82.41,Feuil1
2023,CRDA-Béja,Teffeha,115.41,Feuil1
2023,CRDA-Béja,Griaat,120.41,Feuil1
2023,CRDA-Béja,Sidi Ismail,67.41,Feuil1
2023,CRDA-Béja,Nefza,49.41,Feuil1
2023,CRDA-Béja,Tbordga,49.41,Feuil1
2023,CRDA-Manouba,Manouba,82.41,Feuil1
2023,CRDA-Jendouba,Jendouba,67.41,Feuil1
2023,CRDA-Ariana,Ariana,62.41,Feuil1
2023,CRDA-Bizerte,Complexe Kalaat El Andalous,66.41,Feuil1
2023,CRDA-Bizerte,Complexe Sejnane Joumine,31.41,Feuil1
2023,CRDA-Monastir,Monastir,66.41,Feuil1
2023,CRDA Sousse,Sousse,64.41,Feuil1
2023,CRDA Kairouan,Kairouan,64.41,Feuil1
2023,CRDA Mahdia,Mahdia,64.41,Feuil1
2024,SONEDE,Ghdir El golla,73.69,Feuil1
2024,SONEDE,Belly,76.19,Feuil1
2024,SONEDE,Bizerte,73.69,Feuil1
2024,CRDA-Tunis,tunis,59.43,Feuil1
2024,CRDA-Ben-Arous,ben-arous,63.43,Feuil1
2024,CRDA-Nabeul,,60.43,Feuil1
2024,CRDA-Béja,Borj Ettoumi,92.43,Feuil1
2024,CRDA-Béja,Kliwa,92.43,Feuil1
2024,CRDA-Béja,Teffeha,125.43,Feuil1
2024,CRDA-Béja,Griaat,130.43,Feuil1
2024,CRDA-Béja,Sidi Ismail,77.43,Feuil1
2024,CRDA-Béja,Nefza,59.43,Feuil1
2024,CRDA-Béja,Tbordga,59.43,Feuil1
2024,CRDA-Manouba,manouba,92.43,Feuil1
2024,CRDA-Jandouba,jendouba,77.43,Feuil1
2024,CRDA-Ariana,ariana,72.43,Feuil1
2024,CRDA-Bizerte,Complexe Kalaat El Andalous,76.43,Feuil1
2024,CRDA-Bizerte,Complexe Sejnane Joumine,41.43,Feuil1
2024,CRDA-Monastir,monastir,76.43,Feuil1
2024,CRDA Sousse,sousse,74.43,Feuil1
2024,CRDA Kairouan,kairouan,74.43,Feuil1
2024,CRDA Mahdia,mahdia,74.43,Feuil1
