annee,client,zone,tarif_vente_eau_par_secadenord_millime,feuille
2014,SONEDE,Ghdir El golla,49.11,Feuil1
2014,SONEDE,Belly,51.61,Feuil1
2014,SONEDE,Bizerte,49.11,Feuil1
2014,CRDA-Tunis,Tunis,39.41,Feuil1
2014,CRDA-Ben-Arous,Ben-Arous,43.41,Feuil1
2014,CRDA-Nabeul,,40.41,Feuil1
2014,CRDA-Béja,Borj Ettoumi,72.41,Feuil1
2014,CRDA-Béja,Kliwa,72.41,Feuil1
2014,CRDA-Béja,Teffeha,105.41,Feuil1
2014,CRDA-Béja,Griaat,110.41,Feuil1
2014,CRDA-Béja,Sidi Ismail,57.41,Feuil1
2014,CRDA-Béja,Nefza,39.41,Feuil1
2014,CRDA-Béja,Tbordga,,Feuil1
2014,CRDA-Manouba,Manouba,72.41,Feuil1
2014,CRDA-Jendouba,Jendouba,57.41,Feuil1
2014,CRDA-Ariana,Ariana,52.41,Feuil1
2014,CRDA-Bizerte,Complexe Kalaat El Andalous,56.41,Feuil1
2014,CRDA-Bizerte,Complexe Sejnane Joumine,21.41,Feuil1
2014,CRDA-Monastir,Monastir,56.41,Feuil1
2014,CRDA Sousse,Sousse,54.41,Feuil1
2014,CRDA Kairouan,Kairouan,54.41,Feuil1
2014,CRDA Mahdia,Mahdia,54.41,Feuil1
2015,SONEDE,Ghdir El golla,49.11,Feuil1
2015,SONEDE,Belly,51.61,Feuil1
2015,SONEDE,Bizerte,49.11,Feuil1
2015,CRDA-Tunis,Tunis,39.41,Feuil1
2015,CRDA-Ben-Arous,Ben-Arous,43.41,Feuil1
2015,CRDA-Nabeul,,40.41,Feuil1
2015,CRDA-Béja,Borj Ettoumi,72.41,Feuil1
2015,CRDA-Béja,Kliwa,72.41,Feuil1
2015,CRDA-Béja,Teffeha,105.41,Feuil1
2015,CRDA-Béja,Griaat,110.41,Feuil1
2015,CRDA-Béja,Sidi Ismail,57.41,Feuil1
2015,CRDA-Béja,Nefza,39.41,Feuil1
2015,CRDA-Béja,Tbordga,39.41,Feuil1
2015,CRDA-Manouba,Manouba,72.41,Feuil1
2015,CRDA-Jendouba,Jendouba,57.41,Feuil1
2015,CRDA-Ariana,Ariana,52.41,Feuil1
2015,CRDA-Bizerte,Complexe Kalaat El Andalous,56.41,Feuil1
2015,CRDA-Bizerte,Complexe Sejnane Joumine,21.41,Feuil1
2015,CRDA-Monastir,Monastir,56.41,Feuil1
2015,CRDA Sousse,Sousse,54.41,Feuil1
2015,CRDA Kairouan,Kairouan,54.41,Feuil1
2015,CRDA Mahdia,Mahdia,54.41,Feuil1
2016,SONEDE,Ghdir El golla,53.67,Feuil1
2016,SONEDE,Belly,56.17,Feuil1
2016,SONEDE,Bizerte,53.67,Feuil1
2016,CRDA-Tunis,Tunis,39.41,Feuil1
2016,CRDA-Ben-Arous,Ben-Arous,43.41,Feuil1
2016,CRDA-Nabeul,,40.41,Feuil1
2016,CRDA-Béja,Borj Ettoumi,72.41,Feuil1
2016,CRDA-Béja,Kliwa,72.41,Feuil1
2016,CRDA-Béja,Teffeha,105.41,Feuil1
2016,CRDA-Béja,Griaat,110.41,Feuil1
2016,CRDA-Béja,Sidi Ismail,57.41,Feuil1
2016,CRDA-Béja,Nefza,39.41,Feuil1
2016,CRDA-Béja,Tbordga,39.41,Feuil1
2016,CRDA-Manouba,Manouba,72.41,Feuil1
2016,CRDA-Jendouba,Jendouba,57.41,Feuil1
2016,CRDA-Ariana,Ariana,52.41,Feuil1
2016,CRDA-Bizerte,Complexe Kalaat El Andalous,56.41,Feuil1
2016,CRDA-Bizerte,Complexe Sejnane Joumine,21.41,Feuil1
2016,CRDA-Monastir,Monastir,56.41,Feuil1
2016,CRDA Sousse,Sousse,54.41,Feuil1
2016,CRDA Kairouan,Kairouan,54.41,Feuil1
2016,CRDA Mahdia,Mahdia,54.41,Feuil1
2017,SONEDE,Ghdir El golla,53.67,Feuil1
2017,SONEDE,Belly,56.17,Feuil1
2017,SONEDE,Bizerte,53.67,Feuil1
2017,CRDA-Tunis,Tunis,39.41,Feuil1
2017,CRDA-Ben-Arous,Ben-Arous,43.41,Feuil1
2017,CRDA-Nabeul,,40.41,Feuil1
2017,CRDA-Béja,Borj Ettoumi,72.41,Feuil1
2017,CRDA-Béja,Kliwa,72.41,Feuil1
2017,CRDA-Béja,Teffeha,105.41,Feuil1
2017,CRDA-Béja,Griaat,110.41,Feuil1
2017,CRDA-Béja,Sidi Ismail,57.41,Feuil1
2017,CRDA-Béja,Nefza,39.41,Feuil1
2017,CRDA-Béja,Tbordga,39.41,Feuil1
2017,CRDA-Manouba,Manouba,72.41,Feuil1
2017,CRDA-Jendouba,Jendouba,57.41,Feuil1
2017,CRDA-Ariana,Ariana,52.41,Feuil1
2017,CRDA-Bizerte,Complexe Kalaat El Andalous,56.41,Feuil1
2017,CRDA-Bizerte,Complexe Sejnane Joumine,21.41,Feuil1
2017,CRDA-Monastir,Monastir,56.41,Feuil1
2017,CRDA Sousse,Sousse,54.41,Feuil1
2017,CRDA Kairouan,kairouan,54.41,Feuil1
2017,CRDA Mahdia,Mahdia,54.41,Feuil1
2018,SONEDE,Ghdir El golla,53.67,Feuil1
2018,SONEDE,Belly,56.17,Feuil1
2018,SONEDE,Bizerte,53.67,Feuil1
2018,CRDA-Tunis,Tunis,39.41,Feuil1
2018,CRDA-Ben-Arous,Ben-Arous,43.41,Feuil1
2018,CRDA-Nabeul,,40.41,Feuil1
2018,CRDA-Béja,Borj Ettoumi,72.41,Feuil1
2018,CRDA-Béja,Kliwa,72.41,Feuil1
2018,CRDA-Béja,Teffeha,105.41,Feuil1
2018,CRDA-Béja,Griaat,110.41,Feuil1
2018,CRDA-Béja,Sidi Ismail,57.41,Feuil1
2018,CRDA-Béja,Nefza,39.41,Feuil1
2018,CRDA-Béja,Tbordga,39.41,Feuil1
2018,CRDA-Manouba,Manouba,72.41,Feuil1
