annee,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,ann_2020,ann_2021,ann_2022,ann_2023,ann_2024,ann_2025,feuille
viande-bovine,54.0,51.6,55.8,54,54.9,56.0,58.0,58.3,59.4,52.0,51.5,52.38,54.8,53.45,43.8,39.22,37.2,39.2,Feuil1
viande-ovine,51.0,49.0,50.0,50,49.5,48.5,50.1,50.2,49.4,51.2,52.3,52.92,55.7,56.2,50.7,52.77,58.4,57.3,Feuil1
viande-caprine,10.0,9.8,9.4,9,9.2,9.5,9.5,9.2,9.6,9.4,9.6,9.74,10.7,10.85,11.2,10.55,11.9,11.39,Feuil1
autres-viande,8.8,6.8,7.5,8,7.8,7.2,7.0,7.3,7.3,7.8,6.2,6.35,3.3,3.5,3.1,3.03,3.03,2.93,Feuil1
