societe,nature_du_produit,quantite_kilos
المتوسطية,رخويات مثلجة,152.0
المتوسطية,أسماك مثلجة,1031.7
أزابسكا,قشريات مجمدة,31736.0
أزابسكا,رخويات مجمدة,26676.0
فيشر,قشريات مجمدة,3558.0
فيشر,رخويات مجمدة,168.0
فيشر,أسماك مثلجة,85.8
ديدون ماري,قشريات مجمدة,620.0
ديدون ماري,رخويات مجمدة,70.0
ديدون ماري,رخويات حية,147.0
ديدون ماري,أسماك مثلجة,75.6
ماديترنيان باسكا,نصف مصبرات سمك أزرق,16790.0
لابلان,قشريات مجمدة,11526.0
موليس دوس,رخويات حية,5292.83
