annee,delegation,societe,etat_actuel_entreprise,capacite_production_t_h,capacite_reelle_production_tonne,feuille
2023,السـرس,التعاضدية المركزية للزراعات الكبرى,ناشطة,5,3752.850,Feuil1
2023,السـرس,معمل هلال لصنع العلف,ناشطة,5,855,Feuil1
2023,الجريصـة,أفاك (الباسطي ),غير ناشطة,8,,Feuil1
2023,الكاف الشرقية,شركة البركة بن سلطان,غير ناشطة,6,,Feuil1
2024,السـرس,التعاضدية المركزية للزراعات الكبرى,ناشطة,5,3752.850,Feuil1
2024,السـرس,معمل هلال لصنع العلف,ناشطة,5,855,Feuil1
2024,الجريصـة,أفاك (الباسطي ),غير ناشطة,8,,Feuil1
2024,الكاف الشرقية,شركة البركة بن سلطان,غير ناشطة,6,,Feuil1
2024,المجمــوع,,,24,4607.850,Feuil1
