date,nom_ar,nom_fr,unite,valeur
2025-12-19,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-19,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.44
2025-12-19,Vitesse du vent,Vitesse du vent,m/s,4.99
2025-12-19,Direction du vent,Direction du vent,Deg,123.2
2025-12-19,Température,Température,°c,14.4
2025-12-19,Humidité relative,Humidité relative,%,100.0
2025-12-19,Point de Rosée,Point de Rosée,°c,14.4
2025-12-19,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-19,Pression atmosphérique,Pression atmosphérique,hPa,967.9
