الميناء,جانفي,فيفري,مارس,افريل,ماي,جوان,جويلية,اوت,سبتمبر,اكتوبر,نوفمبر,ديسمبر,feuille
طبرقة,5643.0,9166.0,14629.0,28535.0,22703.0,15301.0,15241.0,11755.0,11066.0,6596.0,4256.0,2434.0,ص س 2017
زوارع,19837.0,19568.0,14782.0,15521.0,16955.0,25674.0,31055.0,31339.0,34250.0,31425.0,19752.0,18943.0,ص س 2017
بنزرت,10849.0,59200.0,53449.0,39196.0,52989.0,55762.0,40865.0,537277.0,31602.0,15565.0,41832.0,37677.0,ص س 2017
سيدي مشرق,0.0,2817.28,2223.72,5119.1,11882.56,9350.7,2642.62,3584.08,2740.6,773.9,3819.8,0.0,ص س 2017
كاب زبيب,3682.06,0.0,4881.96,0.0,34971.76,16560.04,8693.24,4728.6,4362.24,5928.5,5885.9,1872.98,ص س 2017
رفراف,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ص س 2017
غار الملح,20689.4,32449.84,4407.68,13674.6,67011.22,42233.64,5860.34,6076.18,12358.26,50891.38,88877.8,31765.4,ص س 2017
قلعة الأندلس,0.0,2410.0,4189.0,11883.0,12371.0,12292.0,12022.0,9390.0,3862.0,3277.0,562.0,2582.0,ص س 2017
رواد,0.0,1071.0,1637.0,3801.0,5041.0,5257.0,3962.0,3851.0,1362.0,1346.0,586.0,2814.0,ص س 2017
حلق الوادي,8409.24,4073.98,16087.18,2059.0,30971.62,21849.54,2155.56,12324.18,6154.28,11632.64,8167.84,10280.8,ص س 2017
قمرت والمرسى,2115.0,2810.0,2360.0,2500.0,3100.0,3980.0,4120.0,6200.0,5750.0,4789.0,4147.0,3485.0,ص س 2017
سيدي بو سعيد,4910.0,5100.0,4820.0,4200.0,5230.0,6750.0,7220.0,8800.0,7700.0,6850.0,8254.0,6584.0,ص س 2017
خير الدين وصلامبو,1115.0,1900.0,1800.0,1500.0,1830.0,2300.0,3100.0,4100.0,3700.0,2485.0,3124.0,2478.0,ص س 2017
