type,race,شهر_سنةage,effectif,prix_moyen_dinar,remarques,feuille
أبقار مؤصلة منتجة متبوعة,هولشتاين,2س—4 س,3.0,4700.0,عرض متواضع مع استقرار في الأسعار,Feuil1
أبقار مبعدة مؤصلة,_,3س ----7س,69.0,2500.0,عرض متواضع مع استقرار في الأسعار,Feuil1
اراخي مؤصلة,_,10ش---16ش,96.0,3500.0,عرض متوسط مع استقرار في الأسعار,Feuil1
اراخي مؤصلة أعشار,_,في حدود 20ش,5.0,5400.0,_,Feuil1
أبقار شركي منتجة,_,_,,,_,Feuil1
أبقار مبعدة محلي,محلي,2س----6س,,,_,Feuil1
اراخي محلية,محلي,في حدود 10ش,,,_,Feuil1
اراخي شركي أعشار,_,_,,,_,Feuil1
عجول مسمنة مؤصلة,هولشتاين,11ش---20ش,50.0,3900.0,عرض متواضع مع استقرار في الأسعار,Feuil1
عجول مسمنة شركي,_,_,,,_,Feuil1
عجول معدة للتعشعيش مؤصلة,هولشتاين,6ش---9ش,90.0,2700.0,عرض متواضع مع استقرار في الأسعار,Feuil1
عجول معدة للتعشعيش شركي,_,_,,,_,Feuil1
عجول رضاعة مؤصلة,هولشتاين,1ش ---3 ش,90.0,1350.0,عرض متوسط مع استقرار في الأسعار,Feuil1
عجول رضاعة شركي,,,,,,Feuil1
أغنام متبوعة,برقي,2س--- 4 س,50.0,670.0,عرض متواضع مع استقرار نسبي في الأسعار,Feuil1
أغنام أعشار,برقي,2 س --- 5 س,98.0,500.0,عرض متوسط مع استقرار في الطلب و الأسعار,Feuil1
أغنام غير أعشار,_,3 س --- 5 س,620.0,420.0,عرض متوسط مع ارتفاع في الأسعار,Feuil1
بركوسة,_,في حدود 10 ش,86.0,420.0,عرض متواضع  مع استقرار  في الأسعار,Feuil1
بركوس,برقي,7 ش --- 10 ش,150.0,550.0,عرض متوسط,Feuil1
خرفان,_,3 ش --- 6 ش,322.0,300.0,عرض متوسط  مع استقرار  في الأسعار,Feuil1
أكباش,برقي,2 س --- 5 س,110.0,750.0,_,Feuil1
ماعز محلي متبوع,محلي,2 س ---3 س,80.0,360.0,عرض متوسط مع استقرار في الأسعار,Feuil1
ماعز محلي غير متبوع,محلي,2 س ---5 س,100.0,180.0,عرض متوسط مع استقرار في الأسعار,Feuil1
برشني,محلي,4ش ---7 ش,150.0,195.0,عرض متوسط مع استقرار في الأسعار,Feuil1
قعدان,محلي,12 ش --- 20 ش,58.0,1400.0,عرض متوسط,Feuil1
