annee,delegation,nombre_de_cellules_de_vulgarisation_agricole,nombre_de_centres_de_rayonnement_agricole,feuille
2024,قفصة الشمالية,1,5,Feuil1
2024,قفصة الجنوبية,1,4,Feuil1
2024,القصر,1,3,Feuil1
2024,سيدي عيش,1,2,Feuil1
2024,السند,1,5,Feuil1
2024,زانوش,1,1,Feuil1
2024,بلخير,1,2,Feuil1
2024,الرديف,1,2,Feuil1
2024,المتلوي,1,1,Feuil1
2024,أم العرائس,1,4,Feuil1
2024,سيدي بوبكر,1,1,Feuil1
2024,القطار,1,3,Feuil1
2024,المظيلة,1,1,Feuil1
2024,كامل الولاية,13,34,Feuil1
