composante,frequence_ar,frequence,source_ar,source,unite_ar,unite,composante_ar,images,feuille
Tomate industrielle1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/شتلة,TND/plant,طماطم التحويل1,https://drive.google.com/file/d/109eGBvi87gmRF4BiXtoV4iu-SLlJZmxd/view?usp=sharing,Feuil1
Tomate industrielle2,سنويا,ANNUELLE,pastèque de saison franc,CRDA Kairouan,دينار/شتلة,TND/plant,طماطم التحويل2,,Feuil1
Piment de saison,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/شتلة,TND/plant,الفلفل الفصلي,https://drive.google.com/file/d/11aXF2nmZfcA0na7JWlnvfdIeLY3QJFPa/view?usp=sharing,Feuil1
pastèque de saison franc,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/شتلة,TND/plant,الدلاع الفصلي,https://drive.google.com/file/d/1eVHHWhbmmuvB3FKvycXGajdw-53zsUAn/view?usp=sharing,Feuil1
pastèque de saison greffé,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/شتلة,TND/plant,الدلاع الفصلي الملقم,,Feuil1
melon de saison franc,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/شتلة,TND/plant,البطيخ الفصلي,https://drive.google.com/file/d/1eVHHWhbmmuvB3FKvycXGajdw-53zsUAn/view?usp=sharing,Feuil1
melon de saison greffé,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/شتلة,TND/plant,البطيخ الفصلي الملقم,,Feuil1
Fraise  variété TUDLA,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/شتلة,TND/plant,الفراولة صنف تودلا,https://drive.google.com/file/d/192pRedVGkl1MO1OPSruVWxddr_WMKM7_/view?usp=sharing,Feuil1
Autres variétés de fraise,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/شتلة,TND/plant,الفراولة أصناف أخرى,https://drive.google.com/file/d/192pRedVGkl1MO1OPSruVWxddr_WMKM7_/view?usp=sharing,Feuil1
tomate d'arrière saison,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/شتلة,TND/plant,الطماطم الأخر فصلية,,Feuil1
tomate greffé primeur (serre),سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/شتلة,TND/plant,الطماطم البدرية الملقمة (محمية),,Feuil1
tomat franc primeur,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/شتلة,TND/plant,الطماطم البدرية,,Feuil1
piment d'arrière saison,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/شتلة,TND/plant,فلفل الاخر فصلي,,Feuil1
piment primeur,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/شتلة,TND/plant,فلفل البدري,,Feuil1
Piment de saison1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/شتلة,TND/plant,الفلفل الفصلي 1,,Feuil1
Artichaut1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/شتلة,TND/plant,القنارية1,,Feuil1
pastèque de saison1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/شتلة,TND/plant,الدلاع الفصلي1,,Feuil1
melon de saison1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/شتلة,TND/plant,البطيخ1,,Feuil1
