composante,date,datemin,prixmin,prixmax,prix,feuille
Tomate industrielle2,2021-06-17,2021-06-17,0.056,0.12,,Feuil1
Piment de saison,2021-06-17,2021-06-17,0.06,0.28,,Feuil1
pastèque de saison franc,2021-06-17,2021-06-17,0.06,0.35,,Feuil1
pastèque de saison greffé,2021-06-17,2021-06-17,0.7,1.2,,Feuil1
melon de saison franc,2021-06-17,2021-06-17,0.07,0.4,,Feuil1
melon de saison greffé,2021-06-17,2021-06-17,0.9,1.35,,Feuil1
Fraise  variété TUDLA,2021-06-17,2021-06-17,,,0.68,Feuil1
Autres variétés de fraise,2021-06-17,2021-06-17,,,0.84,Feuil1
tomate d'arrière saison,2021-06-17,2021-06-17,0.08,0.14,,Feuil1
tomate greffé primeur (serre),2021-06-17,2021-06-17,1.4,1.6,,Feuil1
tomat franc primeur,2021-06-17,2021-06-17,0.35,0.5,,Feuil1
piment d'arrière saison,2021-06-17,2021-06-17,0.16,0.28,,Feuil1
piment primeur,2021-06-17,2021-06-17,0.2,0.25,,Feuil1
Tomate industrielle1,2021-12-13,2021-12-13,0.47,0.6,,Feuil1
Piment de saison1,2021-12-13,2021-12-13,0.15,0.25,,Feuil1
Artichaut1,2021-12-13,2021-12-13,0.12,0.15,,Feuil1
pastèque de saison1,2021-12-13,2021-12-13,0.6,0.7,,Feuil1
melon de saison1,2021-12-13,2021-12-13,0.6,0.7,,Feuil1
Fraise  variété TUDLA,2021-12-13,2021-12-13,,,0.75,Feuil1
Autres variétés de fraise,2021-12-13,2021-12-13,,,0.85,Feuil1
Tomate industrielle1,2022-02-01,2021-12-13,0.47,0.6,,Feuil1
Piment de saison,2022-02-01,2021-06-17,0.15,0.25,,Feuil1
Artichaut1,2022-02-01,2021-12-13,0.12,0.15,,Feuil1
pastèque de saison1,2022-02-01,2021-12-13,0.6,0.7,,Feuil1
melon de saison1,2022-02-01,2021-12-13,0.6,0.7,,Feuil1
Fraise  variété TUDLA,2022-02-01,2021-06-17,0.7,0.75,,Feuil1
Autres variétés de fraise,2022-02-01,2021-12-13,0.8,0.85,,Feuil1
