annees,delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,feuille
2018,نبر,بهرة,0.0,10.85,20.0,91.3,Feuil1
2018,نبر,الشتاتلة,0.0,0.0,33.5,49.85,Feuil1
2018,نبر,تل الغزلان,0.0,9.83,12.0,35.5,Feuil1
2018,نبر,سيدي مدين,0.0,0.0,17.0,14.7,Feuil1
2018,الطويرف,الطويرف,0.0,7.31,8.0,36.05,Feuil1
2018,الطويرف,ولجة السدرة,0.0,0.0,27.0,39.8,Feuil1
2018,الطويرف,الاذياب,0.0,0.0,14.5,38.56,Feuil1
2018,الطويرف,ملالة,0.0,8.65,20.0,29.1,Feuil1
2018,الساقية,عين الكرمة,0.0,0.0,0.0,33.5,Feuil1
2018,الساقية,فرشان,0.0,0.0,20.0,110.65,Feuil1
2018,الساقية,جرادو,0.0,10.85,6.0,63.84,Feuil1
2018,الساقية,سيدي رابح,0.0,12.17,0.0,46.55,Feuil1
2018,الكاف الشرقية,وادي السوني الجنوبي,0.0,12.05,9.0,62.39,Feuil1
2018,الكاف الشرقية,الزعفران,0.0,0.0,10.0,79.6,Feuil1
2018,الكاف الشرقية,وادي السوني الشمالي,0.0,9.28,11.0,84.06,Feuil1
2018,الكاف الغربية,وادي الرمل الشمالي,0.0,13.85,5.0,17.3,Feuil1
2018,الكاف الغربية,وادي الرمل الجنوبي,0.0,0.0,7.0,114.82,Feuil1
2018,السرس,السرس الشمالي,0.0,0.0,10.0,47.7,Feuil1
2018,السرس,الاربص,0.0,0.0,20.0,58.2,Feuil1
2018,السرس,بوصليعة,0.0,0.0,0.0,71.2,Feuil1
2017,نبر,بهرة,0.0,0.0,20.0,51.48,Feuil1
2017,نبر,الشتاتلة,0.0,0.0,15.5,49.75,Feuil1
2017,نبر,تل الغزلان,0.0,0.0,10.5,0.0,Feuil1
2017,نبر,سيدي مدين,0.0,0.0,0.0,32.99,Feuil1
2017,الطويرف,الطويرف,12.88,0.0,10.0,43.75,Feuil1
2017,الطويرف,ولجة السدرة,0.0,5.0,15.0,56.95,Feuil1
2017,الطويرف,الاذياب,0.0,0.0,16.0,64.12,Feuil1
2017,الطويرف,ملالة,0.0,0.0,18.0,35.76,Feuil1
2017,الساقية,عين الكرمة,0.0,0.0,0.0,0.0,Feuil1
2017,الساقية,فرشان,0.0,0.0,15.0,115.65,Feuil1
2017,الساقية,جرادو,7.85,0.0,15.0,36.05,Feuil1
2017,الساقية,سيدي رابح,0.0,0.0,0.0,17.4,Feuil1
2017,الكاف الشرقية,وادي السوني الجنوبي,0.0,0.0,4.0,46.09,Feuil1
2017,الكاف الشرقية,الزعفران,0.0,0.0,4.0,55.11,Feuil1
2017,الكاف الشرقية,وادي السوني الشمالي,0.0,0.0,12.0,37.3,Feuil1
2017,الكاف الغربية,وادي الرمل الشمالي,0.0,0.0,5.0,10.6,Feuil1
2017,الكاف الغربية,وادي الرمل الجنوبي,0.0,5.5,5.0,81.1,Feuil1
2017,السرس,السرس الشمالي,10.65,0.0,5.0,42.25,Feuil1
2017,السرس,الاربص,5.81,15.6,28.0,45.25,Feuil1
2017,السرس,بوصليعة,0.0,11.1,2.0,43.5,Feuil1
