المعتمدية,زيتون_زيت,زيتون_طاولة,لوز,فستق,مشمش,خوخ,عوينة,تفاح,اجاص,تين,رمان,قوارص,عنب,المجموع,feuille
بوزيد الغربية,4550,200,450,16,1182,538,26,595,19,12,900,51,4,8543,Feuil1
بوزيد الشرقية,2800,40,780,0,29,209,0,12,0,0,158,52,80,4160,Feuil1
المكناسي,7500,60,2136,0,12,975,3,0,0,0,0,1,250,10937,Feuil1
الرقاب,3345,70,5000,0,480,10450,660,2,0,0,395,6596,15300,42298,Feuil1
السعيدة,1400,0,2200,0,0,743,0,0,0,0,0,105,491,4939,Feuil1
جلمة,7800,70,1152,0,220,1085,40,980,64,15,980,79,105,12590,Feuil1
بن عون,6088,18,4260,11,72,830,380,0,40,34,8,5,300,12046,Feuil1
المزونة,1870,5,120,0,10,2330,4,0,0,0,499,33,600,5471,Feuil1
السبالة,1625,70,234,0,23,86,5,5,0,7,8,0,0,2063,Feuil1
أولاد حفوز,2700,40,370,4,24,663,0,4,2,53,180,0,60,4100,Feuil1
بئر الحفي,4500,150,1920,12,106,798,75,40,17,9,88,21,0,7736,Feuil1
منزل بوزيان,3375,40,5040,0,184,1253,49,0,0,0,21,16,180,10158,Feuil1
السوق الجديد,630,5,304,2,12,170,0,72,2,67,53,0,30,1347,Feuil1
الجملة,48183,768,23966,45,2354,20130,1242,1710,144,197,3290,6959,17400,126388,Feuil1
