المعتمدية,زيتون_زيت,زيتون_طاولة,لوز,فستق,مشمش,خوخ,عوينة,تفاح,اجاص,تين,رمان,قوارص,عنب,المجموع,feuille
بوزيد الغربية,4393,262,105,43,174,68,5,61,7,4,119,7.5,2,5251,Feuil1
بوزيد الشرقية,1030,39,260,1,11,20,0,3,0,0,32,25.0,4,1425,Feuil1
المكناسي,1271,30,297,0,3,80,1,15,0,0,10,4.5,14,1726,Feuil1
الرقاب,1205,40,925,8,30,425,55,6,0,0,42,276.0,780,3792,Feuil1
السعيدة,440,0,500,2,0,30,0,0,0,0,0,15.0,48,1035,Feuil1
جلمة,3247,125,400,0,96,65,15,70,8,5,117,12.0,7,4167,Feuil1
بن عون,754,36,356,11,10,42,10,1,4,8,1,2.0,15,1250,Feuil1
المزونة,1523,7,42,0,2,116,1,0,0,0,80,8.0,40,1819,Feuil1
السبالة,1035,74,49,0,9,6,5,1,0,4,2,0.0,0,1185,Feuil1
أولاد حفوز,662,31,52,10,5,42,0,1,1,21,37,3.0,3,868,Feuil1
بئر الحفي,2144,164,420,47,16,49,13,7,8,6,13,6.0,0,2893,Feuil1
منزل بوزيان,775,91,670,0,23,92,13,0,0,0,11,6.5,9,1691,Feuil1
السوق الجديد,248,6,86,3,3,14,0,7,1,15,7,0.0,2,392,Feuil1
الجملة,18727,905,4162,125,382,1049,118,172,29,63,471,365.5,924,27493,Feuil1
