المعتمدية,زيتون_زيت,زيتون_طاولة,لوز,فستق,مشمش,خوخ,عوينة,تفاح,اجاص,تين,رمان,قوارص,عنب,المجموع,feuille
بوزيد الغربية,439300,39700,42000,4340,21098,11847,1020,16525,630,400,35700,3130,1000,616690,Feuil1
بوزيد الشرقية,206420,5850,104000,100,2400,9600,0,600,0,0,11250,10000,5000,355220,Feuil1
المكناسي,481685,4500,118800,0,1000,43000,400,6000,0,0,6000,1500,17500,680385,Feuil1
الرقاب,482000,4000,370000,560,12000,233750,22000,1200,0,0,15800,110400,975000,2226710,Feuil1
السعيدة,176000,0,200000,140,0,16500,0,0,0,0,0,3600,60000,456240,Feuil1
جلمة,441820,13500,162000,0,8600,30200,3000,28000,3200,1000,65350,5172,8750,770592,Feuil1
بن عون,512950,3150,148243,3600,2385,20750,4750,200,2000,1470,400,570,18750,719218,Feuil1
المزونة,447700,1400,19200,0,1000,58000,400,0,0,0,33280,3300,51000,615280,Feuil1
السبالة,114500,11100,19600,0,2300,1900,1000,300,0,400,700,0,0,151800,Feuil1
أولاد حفوز,132400,6200,20800,2000,2000,19400,0,200,100,3450,11100,600,375,198625,Feuil1
بئر الحفي,428800,27490,168000,4700,5300,24500,5000,2800,2700,1200,5200,2100,0,677790,Feuil1
منزل بوزيان,451000,14700,268000,0,9200,44905,4900,0,0,0,2200,1840,11250,807995,Feuil1
السوق الجديد,24800,1150,34400,600,600,5464,0,2100,100,2600,2100,0,2500,76414,Feuil1
الجملة,4339375,132740,1675043,16040,67883,519816,42470,57925,8730,10520,189080,142212,1151125,8352959,Feuil1
