code,produits,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,feuille
10110,Chevaux reproducteurs de race pur (1)*,0,0,0,16450,15450,0,0,88800,88750,87100,82370,124700,98600,138100,0,0,0,0,0,Feuil1
10111,Chevaux reproducteurs de race pur *,18680,5500,6550,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10119,Autres chevaux non reproducteurs de race pure destines a la boucherie*,43900,3000,1800,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10120,"Anes,mulets et bardots",1050,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10121,Animaux du genre buffle reproducteur de race pure,0,0,0,0,0,0,0,0,0,0,0,0,0,342550,519400,408900,204350,173200,118000,Feuil1
10129,"Autres Chevaux, ânes, mulets et bardots, vivants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,6000,0,0,Feuil1
10190,Autres chevaux non reproducteurs de race pure destines a la boucherie*,0,0,0,14000,18600,5500,1100,1750,9700,2000,31300,6300,0,57,0,0,800,0,0,Feuil1
10210,Animaux vivants de l'espèce bovine reproducteurs de race pure,0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10410,Animaux vivants des espèces ovine ou caprine de l'espèce ovine,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,Feuil1
10511,"Coqs,poules,canards,oies,dindons,dindes et pintades,vivants,des espèces domestiques:d'un poids n'excédant pas 185g:coqs et poules*",0,0,104966,14856,3000,0,0,0,0,0,0,0,11088,0,0,0,1500,0,0,Feuil1
10512,"Coqs,poules,canards,oies,dindons,dindes,et pintades,vivants,des espèces domestiques dindes et dindons*",0,0,0,0,0,0,0,0,0,0,0,930,600,0,0,0,0,0,0,Feuil1
10592,"Coqs,poules,canards,oies,dindons,dindes et pintades,vivants,des espèces domestiques d'un poids n'excédant pas 2000g;autres*",0,13550,1480347,0,34800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10594,Autres coqs et poules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,Feuil1
10600,Autres animaux vivants,100,413,2253,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10612,Autres animaux vivants mammifères baleines dauphins lamantins et dugongs*,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,3500,0,Feuil1
10614,Lapins et lièvres,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,22,0,0,0,Feuil1
10619,Autres animaux vivants mammifères autres*,0,0,0,0,0,0,17,1050,1900,0,0,650,0,0,0,70,0,0,0,Feuil1
10620,Autres animaux vivants reptiles*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4520,1920,0,0,Feuil1
10639,Autres animaux vivants oiseaux autres*,0,0,0,26056,18940,4800,1200,9000,60,0,0,210,0,30,35,19,0,17,0,Feuil1
10641,Abeilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,Feuil1
10649,Autres insectes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,125,Feuil1
10690,Autres animaux vivants autres*,0,0,0,0,0,71,3246,988,9390,1928,3086,200,60,0,10,90,250,55,350,Feuil1
20130,"Viandes des animaux de l'espèces bovine,fraîches ou réfrigérées désossées*",0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
