nom_fr,nom_ar,station,inm,x_utm,y_utm,zone_utm,longitude,latitude,gouvernorat_ar,gouvernorat_fr,region_ar,region_fr,feuille
JENDOUBA,جندوبة*,جندوبة,True,481552.21,4039327.42,32.0,8.7940068306122,36.499090981227,جندوبة,Jendouba,الشمال الغربي,Nord-ouest,station
BOUSALEM DRE,بوسالم,بوسالم,False,497184.35,4050484.39,32.0,8.968515258156,36.599846483838,جندوبة,Jendouba,الشمال الغربي,Nord-ouest,station
GHARDIMAOU DRE,غار الدماء,غار الدماء,False,449175.17,4034061.28,32.0,8.4328372647964,36.450445840122,جندوبة,Jendouba,الشمال الغربي,Nord-ouest,station
AIN DRAHEM,عين دراهم*,عين دراهم,True,471723.15,4069948.58,32.0,8.6831275584785,36.774894243722,جندوبة,Jendouba,الشمال الغربي,Nord-ouest,station
TABARKA,طبرقة,طبرقة,False,477482.3,4085346.48,32.0,8.7472058354695,36.91385529257,جندوبة,Jendouba,الشمال الغربي,Nord-ouest,station
BOUHERTMA,سد بوهرتمة,سد بوهرتمة,False,480741.37,4058741.85,32.0,8.7844650826204,36.67409207266,جندوبة,Jendouba,الشمال الغربي,Nord-ouest,station
BEJA,بــاجة,بــاجة,False,518237.4,4064080.82,32.0,9.2042246615892,36.722242430205,بــاجة,Béja,الشمال الغربي,Nord-ouest,station
MEJEZ EL BAB,مجاز الباب,مجاز الباب,False,554051.84,4056294.8,32.0,9.6047197346118,36.650690961995,بــاجة,Béja,الشمال الغربي,Nord-ouest,station
NEFSA DELEG,نفزة *,نفزة,True,507363.22,4092218.72,32.0,9.0827266356392,36.976043455992,بــاجة,Béja,الشمال الغربي,Nord-ouest,station
BARRAGE SIDI SALEM,سد سيدي سالم,سد سيدي سالم,False,535994.94,4045916.96,32.0,9.4022185940515,36.557990590869,بــاجة,Béja,الشمال الغربي,Nord-ouest,station
TEBOURSOUK,تبرسق *,تبرسق,True,522331.57,4034889.08,32.0,9.2492228455147,36.458998975693,بــاجة,Béja,الشمال الغربي,Nord-ouest,station
