annee,2001_prix,2002_prix,2003_prix,2004_prix,2005_prix,2006_prix,2007_prix,2008_prix_eur,2009_prix_eur,2010_prix_eur,2011_prix_eur,2012_prix_eur,2013_prix_eur,2014_prix_eur,2015_prix_eur,2016_prix_eur,2017_prix_eur,2018_prix_eur,2019_prix_eur,feuille
Janvier,103.88146692861821,85.47011543461632,88.5,,,113.73,170.0,163.6475,107.23999970584666,110.02059516534116,175.33444274285,159.70451913384028,207.4936758589979,165.1434638152076,165.5,161.00000000000003,144.55,149.0,177.0,prix-devise-tonne
Février,104.0,87.26526595437053,92.74930885022725,,132.01524611193142,112.4,154.2834107132494,172.05672734396836,104.09618377198629,117.3664628990767,,163.06213924770086,214.53285641491252,158.1383461950013,159.05464731014038,157.36370144493984,149.18,149.0,171.6,prix-devise-tonne
Mars,103.64885111603677,88.3413115355015,86.65937077710741,,130.32861613489712,112.16,,154.88,102.56191423389723,121.38874439281847,,163.78577987931445,204.0,153.64473695480658,156.60919838914057,150.0687368827642,156.0,155.0,169.5,prix-devise-tonne
Avril,101.0,89.59939108782517,104.02080490533197,,120.6164842528479,112.73,,,,124.03879732053954,,168.78959938033893,198.5168,159.06,157.32397117473005,153.0301321774313,160.0,153.0,168.5,prix-devise-tonne
Mai,,91.6969529095051,,,,,,,103.3205232231545,115.99688720805537,155.33,,198.37061364246347,160.74599999999998,156.2408267185862,158.2693548387097,159.8,152.0,168.3,prix-devise-tonne
Juin,,93.20558944919651,,,118.00000132045798,112.2,,165.4999993747116,101.5,112.09085555946906,,173.32614679299272,202.55975447450976,165.0,144.89132672999946,157.99999999999997,0.0,167.0,159.0,prix-devise-tonne
Juillet,,,,,120.19871844716116,111.86,,,,111.12744918121035,162.0,179.18349869451697,180.0,,146.37611980151755,160.139647173714,147.0,169.4,159.5,prix-devise-tonne
Août,,91.50341936263398,,,123.07588719438806,111.0,185.0,,86.0,117.38372093023256,159.2115002626031,,,174.4624145785877,152.79035639413,157.2008219336956,147.0,175.0,162.8,prix-devise-tonne
Septembre,,87.0,,,118.25,129.17,,166.19708621073733,82.76860031851191,151.1660131047122,161.8007406132348,,179.82893553322916,164.03305112178734,140.73336600620783,153.63636363636363,147.0,171.0,163.5,prix-devise-tonne
Octobre,89.78068096736011,86.65322472081039,,126.0,114.26011308973482,125.512747875354,,164.96268696635306,88.0,156.49095291953708,164.31108933149656,,173.24843447204472,158.94794132427413,144.85818952960005,142.5689675894395,143.0,169.5,157.9,prix-devise-tonne
Novembre,92.50503514634111,90.0,,126.16273060677912,108.9466571834993,,,133.41558441558442,95.75156142047811,166.81875254714913,167.65517959807102,,,156.28519708665402,160.34204019084333,146.75692801436279,143.0,173.0,153.6,prix-devise-tonne
Décembre,85.81,96.0,,130.87446555666068,107.89250735435706,161.67096096096097,194.0,102.41,119.31640106152848,171.47255764511578,167.12051023812364,,171.2252917958738,160.0,168.83813774661985,149.4636789842028,153.0,0.0,159.2,prix-devise-tonne
