mois,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
Huile-d-olive,145.5,288.6,444.7,579.062,687.3,777.2,866.3,954.4,1022.4,1114.6,1205.4,1386.9,X°2019 (MD)
Poissons,29.5,54.4,127.7,158.657,198.7,251.9,309.7,334.0,353.1,380.1,435.5,469.4,X°2019 (MD)
Dattes,100.3,213.9,325.9,425.403,470.0,493.4,519.1,538.3,560.5,598.5,683.1,780.0,X°2019 (MD)
Agrumes,5.4,10.5,17.4,21.761,22.9,23.2,24.0,24.3,25.5,26.4,27.7,30.3,X°2019 (MD)
Tomates,14.521405,23.194924,38.045709,63.433799,80.245581,84.283993,89.234876,89.290356,89.714499,90.609661,93.710479,104.565798,X°2019 (MD)
Sucres et sucrerie,,,,,,,,,,,,191.105955,X°2019 (MD)
Autres huiles et dérivés,,,,,,,,,,,,249.32287099999985,X°2019 (MD)
Pates alimentaires,,,,,,,,,,,,140.197412,X°2019 (MD)
"Lait, beurre, fromages, œufs et miel",,,,,,,,,,,,84.319413,X°2019 (MD)
Préparation alimentaires,,,,,,,,,,,,122.337592,X°2019 (MD)
Poivre et piments,,,,,,,,,,,,64.058443,X°2019 (MD)
