annee,nombre_global_operateurs,feuille
2005,555,Feuil1
2006,962,Feuil1
2007,1400,Feuil1
2008,1600,Feuil1
2009,1911,Feuil1
2010,2669,Feuil1
2011,2598,Feuil1
2012,2493,Feuil1
2013,2716,Feuil1
2014,3300,Feuil1
2015,3200,Feuil1
2016,3467,Feuil1
2017,7400,Feuil1
2018,7970,Feuil1
2019,7190,Feuil1
2020,7367,Feuil1
2021,7483,Feuil1
2022,9249,Feuil1
2023,7798,Feuil1
2024,6271,Feuil1
