annee,type_de_peche,valeur_1000_dinars,feuille
2008,صيد ساحلي,142940.0,Feuil2
2008,صيد بالجر القاعي,91448.0,Feuil2
2008,صيد بالجر العائم,1065.0,Feuil2
2008,صيدالسمك الازرق,71830.0,Feuil2
2008,صيد التنيات,11073.0,Feuil2
2008,تربية الاحياء المائية,27670.0,Feuil2
2008,صيد البحيرات,3980.0,Feuil2
2008,صيد المحار,1951.0,Feuil2
2008,صيد الاسفنج,2746.0,Feuil2
2008,صيد جرادالبحر,1494.0,Feuil2
2008,صيد المرجان الأحمر,2950.0,Feuil2
2008,المجموع,359147.0,Feuil2
2009,صيد ساحلي,139557.0,Feuil2
2009,صيد بالجر القاعي,95320.0,Feuil2
2009,صيد بالجر العائم,1146.0,Feuil2
2009,صيدالسمك الازرق,73508.0,Feuil2
2009,صيد التنيات,15233.0,Feuil2
2009,تربية الاحياء المائية,26985.0,Feuil2
2009,صيد البحيرات,3789.0,Feuil2
2009,صيد المحار,1212.0,Feuil2
2009,صيد الاسفنج,986.0,Feuil2
2009,صيد جرادالبحر,1643.0,Feuil2
2009,صيد المرجان الأحمر,1986.0,Feuil2
2009,المجموع,361365.0,Feuil2
2010,صيد ساحلي,154711.0,Feuil2
2010,صيد بالجر القاعي,109438.0,Feuil2
2010,صيد بالجر العائم,1523.0,Feuil2
2010,صيدالسمك الازرق,71125.0,Feuil2
2010,صيد التنيات,13099.0,Feuil2
2010,تربية الاحياء المائية,37865.0,Feuil2
2010,صيد البحيرات,3416.0,Feuil2
2010,صيد المحار,1159.0,Feuil2
2010,صيد الاسفنج,783.0,Feuil2
2010,صيد جرادالبحر,1770.0,Feuil2
2010,صيد المرجان الأحمر,2610.0,Feuil2
2010,المجموع,397499.0,Feuil2
2011,صيد ساحلي,133025.0,Feuil2
2011,صيد بالجر القاعي,112552.0,Feuil2
2011,صيد بالجر العائم,1195.0,Feuil2
2011,صيدالسمك الازرق,84654.0,Feuil2
2011,صيد التنيات,12426.0,Feuil2
2011,تربية الاحياء المائية,57408.0,Feuil2
2011,صيد البحيرات,2144.0,Feuil2
2011,صيد المحار,2230.0,Feuil2
2011,صيد الاسفنج,2070.0,Feuil2
2011,صيد جرادالبحر,1262.0,Feuil2
2011,صيد المرجان الأحمر,1457.0,Feuil2
2011,المجموع,410423.0,Feuil2
2012,صيد ساحلي,154999.0,Feuil2
2012,صيد بالجر القاعي,121816.0,Feuil2
2012,صيد بالجر العائم,943.0,Feuil2
2012,صيدالسمك الازرق,100748.0,Feuil2
