annee,exportation_qte_tonne,feuille
2019,14253.870000000003,Feuil1
2020,10442.225,Feuil1
2021,17887.260000000006,Feuil1
2022,13454.730000000001,Feuil1
2023,7613.825500000001,Feuil1
2024,8509.875499999998,Feuil1
2025,11113.0,Feuil1
