date,gouvernorat,superficie_ha,feuille
2019,تونس,5.5,Evol-Super
2019,أريانة,165.0,Evol-Super
2019,منوبة,1206.0,Evol-Super
2019,بن عروس,167.0,Evol-Super
2019,نابل,329.0,Evol-Super
2019,بنزرت,620.0,Evol-Super
2019,باجة,120.0,Evol-Super
2019,جندوبة,154.5,Evol-Super
2019,الكاف,380.0,Evol-Super
2019,سليانة,1946.0,Evol-Super
2019,زغوان,83.0,Evol-Super
2019,سوسة,87.0,Evol-Super
2019,المنستير,185.0,Evol-Super
2019,المهدية,176.0,Evol-Super
2019,صفاقس,575.0,Evol-Super
2019,القيروان,1494.0,Evol-Super
2019,القصرين,8365.0,Evol-Super
2019,سيدي بوزيد,151.0,Evol-Super
2019,قفصة,120.0,Evol-Super
2019,توزر,0.0,Evol-Super
2019,قبلي,60.0,Evol-Super
2019,قابس,300.0,Evol-Super
2019,مدنين,450.0,Evol-Super
2019,تطاوين,14.75,Evol-Super
2018,تونس,5.5,Evol-Super
2018,أريانة,139.25,Evol-Super
2018,منوبة,1185.0,Evol-Super
2018,بن عروس,167.0,Evol-Super
2018,نابل,304.5,Evol-Super
2018,بنزرت,0.0,Evol-Super
2018,باجة,110.0,Evol-Super
2018,جندوبة,143.5,Evol-Super
2018,الكاف,380.0,Evol-Super
2018,سليانة,2046.0,Evol-Super
2018,زغوان,88.4,Evol-Super
2018,سوسة,87.0,Evol-Super
2018,المنستير,184.2,Evol-Super
2018,المهدية,173.0,Evol-Super
2018,صفاقس,571.0,Evol-Super
2018,القيروان,1469.0,Evol-Super
2018,القصرين,8000.0,Evol-Super
2018,سيدي بوزيد,153.0,Evol-Super
2018,قفصة,0.0,Evol-Super
2018,توزر,0.0,Evol-Super
2018,قبلي,60.0,Evol-Super
2018,قابس,300.0,Evol-Super
2018,مدنين,470.0,Evol-Super
2018,تطاوين,16.5,Evol-Super
2017,تونس,5.5,Evol-Super
2017,أريانة,114.25,Evol-Super
2017,منوبة,1185.0,Evol-Super
2017,بن عروس,188.0,Evol-Super
2017,نابل,297.5,Evol-Super
2017,بنزرت,620.0,Evol-Super
2017,باجة,135.0,Evol-Super
2017,جندوبة,200.0,Evol-Super
2017,الكاف,345.0,Evol-Super
2017,سليانة,2016.0,Evol-Super
2017,زغوان,98.4,Evol-Super
2017,سوسة,86.0,Evol-Super
2017,المنستير,158.5,Evol-Super
2017,المهدية,151.0,Evol-Super
2017,صفاقس,567.0,Evol-Super
2017,القيروان,1473.0,Evol-Super
2017,القصرين,7580.0,Evol-Super
2017,سيدي بوزيد,203.0,Evol-Super
2017,قفصة,132.0,Evol-Super
2017,توزر,0.0,Evol-Super
2017,قبلي,80.0,Evol-Super
2017,قابس,300.0,Evol-Super
2017,مدنين,452.0,Evol-Super
2017,تطاوين,16.5,Evol-Super
2016,تونس,5.5,Evol-Super
2016,أريانة,109.0,Evol-Super
2016,منوبة,1185.0,Evol-Super
2016,بن عروس,198.0,Evol-Super
2016,نابل,280.0,Evol-Super
2016,بنزرت,600.0,Evol-Super
2016,باجة,130.0,Evol-Super
2016,جندوبة,200.0,Evol-Super
2016,الكاف,335.0,Evol-Super
2016,سليانة,2000.0,Evol-Super
2016,زغوان,88.4,Evol-Super
2016,سوسة,85.0,Evol-Super
2016,المنستير,158.5,Evol-Super
2016,المهدية,146.5,Evol-Super
2016,صفاقس,560.0,Evol-Super
2016,القيروان,1457.0,Evol-Super
2016,القصرين,7225.0,Evol-Super
2016,سيدي بوزيد,213.0,Evol-Super
2016,قفصة,127.0,Evol-Super
2016,توزر,0.0,Evol-Super
2016,قبلي,85.0,Evol-Super
2016,قابس,300.0,Evol-Super
2016,مدنين,454.0,Evol-Super
2016,تطاوين,20.0,Evol-Super
2015,تونس,5.5,Evol-Super
2015,أريانة,103.0,Evol-Super
2015,منوبة,1185.0,Evol-Super
2015,بن عروس,270.0,Evol-Super
2015,نابل,282.5,Evol-Super
2015,بنزرت,620.0,Evol-Super
2015,باجة,175.0,Evol-Super
2015,جندوبة,986.0,Evol-Super
2015,الكاف,340.0,Evol-Super
2015,سليانة,2000.0,Evol-Super
2015,زغوان,87.5,Evol-Super
2015,سوسة,85.0,Evol-Super
2015,المنستير,217.8,Evol-Super
2015,المهدية,155.0,Evol-Super
2015,صفاقس,556.0,Evol-Super
2015,القيروان,1474.0,Evol-Super
2015,القصرين,7000.0,Evol-Super
2015,سيدي بوزيد,201.0,Evol-Super
2015,قفصة,127.0,Evol-Super
2015,توزر,120.0,Evol-Super
2015,قبلي,90.0,Evol-Super
2015,قابس,295.0,Evol-Super
2015,مدنين,450.0,Evol-Super
2015,تطاوين,20.0,Evol-Super
2014,تونس,5.5,Evol-Super
2014,أريانة,96.5,Evol-Super
2014,منوبة,1185.0,Evol-Super
2014,بن عروس,285.0,Evol-Super
2014,نابل,278.5,Evol-Super
2014,بنزرت,603.0,Evol-Super
2014,باجة,125.0,Evol-Super
2014,جندوبة,200.0,Evol-Super
2014,الكاف,600.0,Evol-Super
2014,سليانة,2000.0,Evol-Super
2014,زغوان,78.5,Evol-Super
2014,سوسة,89.0,Evol-Super
2014,المنستير,295.0,Evol-Super
2014,المهدية,146.0,Evol-Super
2014,صفاقس,515.0,Evol-Super
2014,القيروان,1466.0,Evol-Super
2014,القصرين,5805.0,Evol-Super
2014,سيدي بوزيد,201.0,Evol-Super
2014,قفصة,117.0,Evol-Super
2014,توزر,125.0,Evol-Super
2014,قبلي,25.0,Evol-Super
2014,قابس,270.0,Evol-Super
2014,مدنين,424.0,Evol-Super
2014,تطاوين,6.0,Evol-Super
2012,تونس,5.5,Evol-Super
2012,أريانة,353.0,Evol-Super
2012,منوبة,1200.0,Evol-Super
2012,بن عروس,590.0,Evol-Super
2012,نابل,563.0,Evol-Super
2012,بنزرت,1122.0,Evol-Super
2012,باجة,370.0,Evol-Super
2012,جندوبة,200.0,Evol-Super
2012,الكاف,780.0,Evol-Super
2012,سليانة,1900.0,Evol-Super
2012,زغوان,77.5,Evol-Super
2012,سوسة,87.0,Evol-Super
2012,المنستير,317.0,Evol-Super
2012,المهدية,185.0,Evol-Super
2012,صفاقس,555.0,Evol-Super
2012,القيروان,1446.0,Evol-Super
2012,القصرين,5640.0,Evol-Super
2012,سيدي بوزيد,259.0,Evol-Super
2012,قفصة,136.0,Evol-Super
2012,توزر,130.0,Evol-Super
2012,قبلي,135.0,Evol-Super
2012,قابس,1150.0,Evol-Super
2012,مدنين,830.0,Evol-Super
2012,تطاوين,47.0,Evol-Super
2011,تونس,5.0,Evol-Super
2011,أريانة,353.0,Evol-Super
2011,منوبة,1200.0,Evol-Super
2011,بن عروس,640.0,Evol-Super
2011,نابل,537.0,Evol-Super
2011,بنزرت,1122.0,Evol-Super
2011,باجة,370.0,Evol-Super
2011,جندوبة,300.0,Evol-Super
2011,الكاف,960.0,Evol-Super
2011,سليانة,1650.0,Evol-Super
2011,زغوان,335.0,Evol-Super
2011,سوسة,84.0,Evol-Super
2011,المنستير,292.0,Evol-Super
2011,المهدية,217.0,Evol-Super
2011,صفاقس,413.0,Evol-Super
2011,القيروان,1446.0,Evol-Super
2011,القصرين,5680.0,Evol-Super
2011,سيدي بوزيد,254.0,Evol-Super
2011,قفصة,135.0,Evol-Super
2011,توزر,130.0,Evol-Super
2011,قبلي,112.0,Evol-Super
2011,قابس,1150.0,Evol-Super
2011,مدنين,750.0,Evol-Super
2011,تطاوين,82.0,Evol-Super
2010,تونس,5.5,Evol-Super
2010,أريانة,353.0,Evol-Super
2010,منوبة,1200.0,Evol-Super
2010,بن عروس,900.0,Evol-Super
2010,نابل,537.0,Evol-Super
2010,بنزرت,1120.0,Evol-Super
2010,باجة,370.0,Evol-Super
2010,جندوبة,190.0,Evol-Super
