nom_groupement,activite,adresse,date_creation,zone_intervention,nombre_adherents,feuille
مجمع التنمية لمياه الري المغيرة إنزال,مياه الري,سيدي حسين,15/11/2007,المغيرة إنزال,29,Feuil1
مجمع التنمية للمرأة الريفية الكرامة,منتجات المرأة الريفية,الحرايرية,24/01/2019,عين الكرمة,7,Feuil1
مجمع التنمية لمنتجي السلجم بتونس,الفلاحة,المركز العمراني الشمالي,29/04/2021,باجة، بنزرت، زغوان، جندوبة، الكاف، سليانة، تونس، منوبة، أريانة، نابل، القيروان,31,Feuil1
