annee,delegation,superficies_irrigables_ha,superficies_irrigues_ha,superficies_irrigues_ha_puits_de_surface,superficies_irrigues_ha_puits_profonds,superficies_irrigues_ha_oued,superficies_irrigues_ha_barrages,superficies_irrigues_ha_barrages_collinaires,superficies_irrigues_ha_lac_collinaires,autres_sources,feuille
2023,-الكاف الشرقية,1150,2069.5,1457.0,360,252.0,0.0,0.0,0.5,0,Feuil1
2023,-الكاف الغربية,705,901.0,383.0,518,0.0,0.0,0.0,0.0,0,Feuil1
2023,-الدهمانـي,1265,1945.0,730.0,1215,0.0,0.0,0.0,0.0,0,Feuil1
2023,--تاجرويـن,858,703.0,320.0,138,137.0,0.0,53.0,55.0,0,Feuil1
2023,-السـرس,3070,1972.0,942.0,1030,0.0,0.0,0.0,0.0,0,Feuil1
2023,-القصـور,1100,980.0,440.0,540,0.0,0.0,0.0,0.0,0,Feuil1
2023,-الجريصـة,1250,198.0,40.0,68,34.0,0.0,30.0,26.0,0,Feuil1
2023,-قلعة سنان,1085,642.0,350.0,190,102.0,0.0,0.0,0.0,0,Feuil1
2023,-القلعة الخصبـاء,1064,1205.0,99.5,1074,31.25,0.0,0.25,0.0,0,Feuil1
2023,-نبــر,366,282.0,174.0,0,55.0,0.0,0.0,0.0,53,Feuil1
2023,-ساقية سيدي يوسف,285,60.0,15.0,5,30.0,10.0,0.0,0.0,0,Feuil1
2023,-الطويرف,80,37.5,37.5,0,0.0,0.0,0.0,0.0,0,Feuil1
2023,كامـل الولايـة,12278,10995.0,4988.0,5138,641.25,10.0,83.25,81.5,53,Feuil1
2024,-الكاف الشرقية,1200,1163.0,599.0,341,223.0,0.0,0.0,0.0,0,Feuil1
2024,-الكاف الغربية,735,908.0,410.0,498,0.0,0.0,0.0,0.0,0,Feuil1
2024,-الدهمانـي,2265,1825.0,730.0,1095,0.0,0.0,0.0,0.0,0,Feuil1
2024,--تاجرويـن,858,565.0,280.0,165,85.0,0.0,35.0,0.0,0,Feuil1
2024,-السـرس,2600,1805.0,690.0,1065,0.0,0.0,0.0,50.0,0,Feuil1
2024,-القصـور,1100,980.0,440.0,540,0.0,0.0,0.0,0.0,0,Feuil1
2024,-الجريصـة,331,229.0,47.0,93,27.0,0.0,35.0,27.0,0,Feuil1
2024,-قلعة سنان,950,812.0,236.0,386,190.0,0.0,0.0,0.0,0,Feuil1
2024,-القلعة الخصبـاء,1940,1727.5,78.0,1525,75.0,49.5,,0.0,0,Feuil1
2024,-نبــر,366,185.0,149.0,0,36.0,0.0,0.0,0.0,0,Feuil1
2024,-ساقية سيدي يوسف,130,53.0,35.0,5,10.0,3.0,0.0,0.0,0,Feuil1
2024,-الطويرف,80,37.5,37.5,0,0.0,0.0,0.0,0.0,0,Feuil1
2024,كامـل الولايـة,12555,10290.0,3731.5,5713,646.0,52.5,70.0,77.0,0,Feuil1
