annee,delegation,superficies_irrigables_ha,superficies_irriguees_ha,superficies_irriguees_ha_puits_de_surface,superficies_irriguees_ha_puits_profonds,superficies_irriguees_ha_oued,superficies_irriguees_ha_barrages,superficies_irriguees_ha_barrages_collinaires,superficies_irriguees_ha_lac_collinaires,autres_sources,feuille
2023,-الكاف الشرقية,892.0,107.75,0.0,34.5,0.0,68.0,5.25,0.0,0.0,Feuil1
2023,-الكاف الغربية,300.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,Feuil1
2023,-الدهمانـي,636.0,296.0,0.0,138.0,0.0,0.0,0.0,0.0,158.0,Feuil1
2023,--تاجرويـن,1062.0,416.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,Feuil1
2023,-السـرس,354.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,Feuil1
2023,-القصـور,515.0,145.0,0.0,125.0,0.0,0.0,20.0,0.0,0.0,Feuil1
2023,-الجريصـة,1122.0,550.5,0.0,0.0,0.0,520.0,30.5,0.0,0.0,Feuil1
2023,-قلعة سنان,2748.0,875.0,0.0,25.0,0.0,850.0,0.0,0.0,0.0,Feuil1
2023,-القلعة الخصبـاء,1129.0,523.25,0.0,346.25,0.0,177.0,0.0,0.0,0.0,Feuil1
2023,-نبــر,1143.0,202.5,0.0,0.0,0.0,202.5,0.0,0.0,0.0,Feuil1
2023,-ساقية سيدي يوسف,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feuil1
2023,-الطويرف,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feuil1
2023,كامـل الولايـة,10112.0,3246.0,0.0,1109.75,0.0,1817.5,55.75,0.0,263.0,Feuil1
2024,-الكاف الشرقية,892.0,98.0,0.0,28.0,0.0,68.0,2.0,0.0,0.0,Feuil1
2024,-الكاف الغربية,300.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,Feuil1
2024,-الدهمانـي,636.0,296.0,0.0,138.0,0.0,0.0,0.0,0.0,158.0,Feuil1
2024,-تاجرويـن,1062.0,405.0,0.0,305.0,0.0,100.0,0.0,0.0,0.0,Feuil1
2024,-السـرس,354.0,114.0,0.0,102.0,0.0,0.0,0.0,0.0,12.0,Feuil1
2024,-القصـور,515.0,165.0,0.0,115.0,0.0,0.0,50.0,0.0,0.0,Feuil1
2024,-الجريصـة,1122.0,559.0,0.0,0.0,0.0,524.0,35.0,0.0,0.0,Feuil1
2024,-قلعة سنان,2392.0,825.0,0.0,147.0,0.0,678.0,0.0,0.0,0.0,Feuil1
2024,-القلعة الخصبـاء,1129.0,491.5,0.0,284.5,0.0,200.0,7.0,0.0,0.0,Feuil1
2024,-نبــر,1143.0,232.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,Feuil1
2024,-ساقية سيدي يوسف,106.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Feuil1
2024,-الطويرف,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feuil1
2024,كامـل الولايـة,9756.0,3212.5,0.0,1136.5,0.0,1802.0,94.0,0.0,180.0,Feuil1
2024,,,,,,,,,,,Feuil1
