annee,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2019,feuille
Lapin,20,20,20,20,15,13,14,12,11,11,12,10.5,product CC
Bovin laitier,343,314,417,496,359,317,440,520,590,700,570,580.0,product CC
Bovin engraissement,106,96,184,267,193,171,240,280,320,380,307,312.0,product CC
Ovin et Caprin,211,310,200,192,138,129,170,200,220,270,220,222.0,product CC
