annee,port,nombre_flottilles_peche,production_peche_t,postes_emploi,feuille
2014,قلعة الأندلس,215,148.465,765,Feuil1
2014,رواد,81,57.905,200,Feuil1
2014,المجموع,296,206.0,965,Feuil1
2015,قلعة الأندلس,205,106.467,795,Feuil1
2015,رواد,82,61.0,205,Feuil1
2015,المجموع,287,167.0,1000,Feuil1
2016,قلعة الأندلس,194,88.78,790,Feuil1
2016,رواد,85,34.65,210,Feuil1
2016,المجموع,279,123.0,1000,Feuil1
2017,قلعة الأندلس,193,76.0,826,Feuil1
2017,رواد,83,29.0,217,Feuil1
2017,المجموع,276,105.0,1043,Feuil1
2018,قلعة الأندلس,194,100.0,790,Feuil1
2018,رواد,84,40.0,210,Feuil1
2018,المجموع,278,140.0,1000,Feuil1
2019,قلعة الأندلس,199,70.6,810,Feuil1
2019,رواد,110,36.5,250,Feuil1
2019,المجموع,309,107.1,1060,Feuil1
2020,قلعة الأندلس,202,64.732,830,Feuil1
2020,رواد,86,32.268,250,Feuil1
2020,المجموع,288,97.0,1080,Feuil1
2021,قلعة الأندلس,200,334.0,850,Feuil1
2021,رواد,80,52.0,220,Feuil1
2021,المجموع,280,386.0,1070,Feuil1
2022,قلعة الأندلس,196,434.0,850,Feuil1
2022,رواد,78,61.0,220,Feuil1
2022,المجموع,274,495.0,1070,Feuil1
2023,قلعة الأندلس,200,393.0,897,Feuil1
2023,رواد,78,52.0,230,Feuil1
2023,المجموع,278,445.0,1127,Feuil1
2024,قلعة الأندلس,200,489.0,850,Feuil1
2024,رواد,80,42.0,220,Feuil1
2024,المجموع,280,531.0,1070,Feuil1
