mois,constructions,amenagements,equipements,equipement_roulant,elevage,plantations,frais_divers,fonds_de_roulement,feuille
dec_2019,67.716,64.36,379.181,55.238,23.211,36.54,20.449,33.37,invest approuve par composan MD
dec_ 2020,45.557,51.228,291.273,47.03,8.665,36.874,15.525,10.153,invest approuve par composan MD
dec-2021,44.449,59.861,343.476,42.772,17.402,31.392,17.936,19.633,invest approuve par composan MD
