mois,nbr_projet_declare,nbr_projet_approuve,investiss_dec_md,investiss_app_md,nbr_emploi_creer,nbr_credit,montant_credit_md,superficie_ha,feuille
jan_2018,,,,9.5,,,,,suivi des investissements
fev_2018,,,,71.0,,,,,suivi des investissements
mars_2018,,,,145.8,,,,,suivi des investissements
avril_2018,,,,192.9,,,,,suivi des investissements
mai_2018,4250.0,2346.0,718.496,254.5,2828.0,31.0,2875.0,354.0,suivi des investissements
jui_2018,4750.0,2755.0,811.34,302.8,3325.0,37.0,3475.0,447.0,suivi des investissements
juil_2018,5294.0,3211.0,891.431,378.0,3938.0,50.0,4913.0,647.0,suivi des investissements
aout_2018,5802.0,3289.0,975.141,385.027,4020.0,50.0,4913.0,655.0,suivi des investissements
sep_2018,6526.0,3842.0,1094.402,455.8,4594.0,56.0,5450.0,699.0,suivi des investissements
oct_2018,7223.0,4073.0,1198.917,478.7,4844.0,64.0,6565.0,781.0,suivi des investissements
nov_2018,7888.0,4550.0,1355.105,541.8,5511.0,75.0,7584.0,874.0,suivi des investissements
dec_2018,8574.0,5199.0,1488.444,719.257,6654.0,106.0,14810.0,1217.0,suivi des investissements
jan_2019,,,,0.0,,,,,suivi des investissements
fev_2019,,,,15.8,,,,,suivi des investissements
mars_2019,,,,64.4,,,,,suivi des investissements
avril_2019,2804.0,1063.0,472.155,90.254,936.0,11.0,1926.0,122.0,suivi des investissements
mai_2019,3462.0,1263.0,596.504,112.2,1168.0,11.0,1439.0,122.0,suivi des investissements
jui_2019,3928.0,1685.0,718.788,161.4,1600.0,30.0,3178.0,325.0,suivi des investissements
juil_2019,4460.0,1980.0,855.423,217.2,2110.0,56.0,4913.0,655.0,suivi des investissements
aout_2019,5080.0,2119.0,952.871,241.3,2304.0,60.0,6112.0,666.0,suivi des investissements
sep_2019,5854.0,2531.0,1073.724,340.7,3387.0,63.0,6306.0,686.0,suivi des investissements
oct_2019,6652.0,2990.0,1182.459,423.7,3833.0,64.0,6382.0,694.0,suivi des investissements
nov_2019,7306.0,3293.0,1271.31,510.5,4403.0,70.0,7081.0,761.0,suivi des investissements
dec_2019,7909.0,4082.0,1394.357,680.065,5464.0,89.0,9253.0,1020.0,suivi des investissements
jan_2020,,,,6.9,,,,,suivi des investissements
fev_2020,,,,49.4,,,,,suivi des investissements
mars_2020,1629.0,661.0,269.456,70.162,671.0,8.0,1390.0,77.0,suivi des investissements
avril_2020,1635.0,709.0,271.703,93.002,1031.0,18.0,2862.0,185.0,suivi des investissements
mai_2020,1941.0,788.0,378.199,104.0,769.0,18.0,1770.0,185.0,suivi des investissements
jui_2020,2659.0,1341.0,516.742,184.9,1511.0,26.0,2614.0,271.0,suivi des investissements
juil_2020,3202.0,1676.0,610.033,215.1,1789.0,35.0,3856.0,348.0,suivi des investissements
aout_2020,3752.0,1643.0,689.22,225.3,1851.0,35.0,3533.0,829.0,suivi des investissements
sep_2020,4435.0,2209.0,797.834,282.2,2466.0,40.0,3834.0,397.0,suivi des investissements
oct_2020,5123.0,2428.0,915.359,352.7,2764.0,41.0,3909.0,401.0,suivi des investissements
nov_2020,5798.0,2834.0,1046.137,418.7,3269.0,56.0,5608.0,576.0,suivi des investissements
dec_2020,6749.0,3430.0,1224.83,506.303,3965.0,59.0,9143.0,614.0,suivi des investissements
jan_2021,,,,,,,,,suivi des investissements
fev_2021,,,,,,,,,suivi des investissements
mars_2021,2009.0,765.0,384.607,87.29,760.0,9.0,1497.0,113.0,suivi des investissements
avril_2021,2690.0,1045.0,521.116,115.098,997.0,9.0,1499.0,113.0,suivi des investissements
mai_2021,2899.0,1347.0,554.761,169.794,1390.0,16.0,2537.0,176.0,suivi des investissements
jui_2021,3373.0,1453.0,656.295,200.668,1536.0,27.0,4398.0,298.0,suivi des investissements
juil_2021,3634.0,1809.0,698.54,259.059,2012.0,27.0,4441.0,299.0,suivi des investissements
aout_2021,4097.0,1991.0,800.786,292.641,2323.0,36.0,5847.0,375.0,suivi des investissements
sep_2021,4603.0,2314.0,903.047,322.791,2548.0,36.0,5847.0,375.0,suivi des investissements
oct_2021,5179.0,2562.0,1000.157,391.875,3073.0,51.0,8034.0,518.0,suivi des investissements
nov_2021,,,,,,,,,suivi des investissements
dec_2021,6664.0,3499.0,1308.583,576.921,4288.0,67.0,10768.0,693.0,suivi des investissements
jan_2022,,,,,,,,,suivi des investissements
fev_2022,,,,,,,,,suivi des investissements
mars_2022,1658.0,767.0,312.727,130.666,684.0,7.0,971.0,64.0,suivi des investissements
avril_2022,2284.0,869.0,427.757,137.896,847.0,11.0,1659.0,106.0,suivi des investissements
mai_2022,,,,,,,,,suivi des investissements
jui_2022,,,,,,,,,suivi des investissements
juil_2022,,,,,,,,,suivi des investissements
aout_2022,,,,,,,,,suivi des investissements
sep_2022,,,,,,,,,suivi des investissements
oct_2022,,,,,,,,,suivi des investissements
nov_2022,,,,,,,,,suivi des investissements
dec_2022,,,,,,,,,suivi des investissements
