mois,nord_est,nord_ouest,centre_ouest,centre_est,sud_ouest,sud_est,feuille
2019,183.973,98.12,147.033,135.321,55.313,60.305,invest approuve par region MD
2020,104.707,59.007,129.839,87.47,52.134,73.146,invest approuve par region MD
2021,153.511,93.348,125.315,109.493,41.177,54.076,invest approuve par region MD
