annee,activite,nombre_beneficiaires,investissement_mille_dinars,subvention_mille_dinars,credit_bts_mille_dinars,feuille
2022,الصيد البحري,34,368.61,114.152,101.566,suivi-subvention
2023,الصيد البحري,17,274.0,74.5,20.961,suivi-subvention
