delegation,nombre,nom,zone,capacite_de_transformation_journaliere_tonne_jour,date_de_debut_de_lexploitation,feuille
باجة الشمالية,1.0,جوهر بن عمار,المنطقة الصناعية باجة الشمالية,410.0,2010.0,Feuil1
مجاز الباب,3.0,صالح السليطي,مدينة مجاز الباب,40.0,2012.0,Feuil1
مجاز الباب,,عبد السلام الفندري,المنطقة الصناعية مجاز الباب,30.0,1992.0,Feuil1
مجاز الباب,,الشركة المتوسطة للاستثمار الفلاحي,سيدي مدين -مجاز الباب,,,Feuil1
قبلاط,3.0,شركة الإحياء والتنمية الفلاحية الخروبة,منطقة الخروبة بقبلاط,60.0,2005.0,Feuil1
قبلاط,,شركة معصرة نجمة الشمال,المنطقة الصناعية بقبلاط,130.0,2000.0,Feuil1
قبلاط,,لزهر الصغير,سيدي مدين -,70.0,2016.0,Feuil1
تستور,4.0,عبد الكريم الطرخاني,منطقة وادي الزرقاء,350.0,1998.0,Feuil1
تستور,,معصرة سفيان قسطليTazemmeurt,السلوقية,60.0,2023.0,Feuil1
تستور,,معصرة شركةTshilaورثة التباسي,طريق الكاف,140.0,2017.0,Feuil1
تستور,,شركة الإحياء والتنمية الفلاحية الغنيمة الأندلس,طريق زلدو,25.0,2012.0,Feuil1
تيبار,1.0,سمير الصدغياني,طريق تبرسق,50.0,2011.0,Feuil1
نفزة,2.0,يوسف بالأسود الرمضاني,طريق طبرقة,100.0,2007.0,Feuil1
نفزة,,شركة خميسةلعصر الزيت /نورالدين المنصوري,طريق نفزة - الجميلة,40.0,2019.0,Feuil1
عمدون,5.0,شركة خميسةلعصر الزيت /نورالدين المنصوري,شارع البيئة عمدون,80.0,2010.0,Feuil1
عمدون,,محمد الفاضل المغراوي,نهج الطيب المهيري عمدون,30.0,,Feuil1
عمدون,,محمد الحبيب المديني,طريق عين دراهم,30.0,2005.0,Feuil1
عمدون,,لطفي البركاتي الدخلي,نهج الطيب المهيري عمدون,40.0,2015.0,Feuil1
عمدون,,قيسى العبسي,طريق القوسة,40.0,2019.0,Feuil1
تبرسق,12.0,معصرة المرحوم جلال السياري,طريق الكاف تبرسق,40.0,2009.0,Feuil1
تبرسق,,معصرة الهناء ورثة محمد العربي بن بزة,04 شارع الحرية تبرسق,70.0,2010.0,Feuil1
تبرسق,,معصرة الغصن الاخضر طارق البحري بو ذينة,فدان السوق,12.0,,Feuil1
تبرسق,,معصرة قصي لزيت الزيتون,مدينة تبرسق,25.0,2020.0,Feuil1
تبرسق,,شركة زيوت دقة كمال العياري,طريق الكاف تبرسق,60.0,2010.0,Feuil1
تبرسق,,عبد المنعم بن جدو,دقة تبرسق,40.0,2007.0,Feuil1
تبرسق,,صالح بن سالم الماكني,دقة تبرسق,40.0,,Feuil1
تبرسق,,معصرة شركة طيبة ياسين بن الامين,شارع الحرية تبرسق,40.0,2011.0,Feuil1
تبرسق,,حمادي البدوي,شارع الحرية تبرسق,60.0,,Feuil1
تبرسق,,ورثة عبد الملك بالحاج,دقة تبرسق,30.0,,Feuil1
تبرسق,,معصرة بالطاهر لزيت الزيتون,الطريق الوطنية رقم 05 خلاد الجنوبية,80.0,2017.0,Feuil1
تبرسق,,معصرة المنيار طارق الهاشمي,الفوار,80.0,2024.0,Feuil1
مجموع الولاية,31.0,,,2302.0,,Feuil1
