annee,corps_administratif,grade,nombre_personnel,feuille
2023,السلك الإداري,متصرف عام,1.0,Feuil1
2023,السلك الإداري,متصرّف رئيس,3.0,Feuil1
2023,السلك الإداري,متصرّف مستشار,10.0,Feuil1
2023,السلك الإداري,متصرّف,9.0,Feuil1
2023,السلك الإداري,متصرف مساعد,6.0,Feuil1
2023,السلك الإداري,كاتب تصرّف,13.0,Feuil1
2023,السلك الإداري,مستكتب إدارة,3.0,Feuil1
2023,سلك المتصرفين في الوثائق والأرشيف,متصرّف في الوثائق والأرشيف,1.0,Feuil1
2023,سلك المتصرفين في الوثائق والأرشيف,مكتبي مساعد أوموثق مساعد,1.0,Feuil1
2023,سلك المهندسين,مهندس عامّ,4.0,Feuil1
2023,سلك المهندسين,مهندس رئيس,23.0,Feuil1
2023,سلك المهندسين,مهندس أوّل,22.0,Feuil1
2023,سلك المهندسين,مهندس أشغال,4.0,Feuil1
2023,سلك التقنيين,تقني رئيس أول,2.0,Feuil1
2023,سلك التقنيين,تقني رئيس,10.0,Feuil1
2023,سلك التقنيين,تقني أوّل,31.0,Feuil1
2023,سلك التقنيين,تقني,37.0,Feuil1
2023,سلك التقنيين,مساعد تقني,16.0,Feuil1
2023,سلك التقنيين,عون تقني,8.0,Feuil1
2023,سلك الإطارات المشتركة للمخبر,رئيس مخبر,1.0,Feuil1
2023,سلك الإطارات المشتركة للمخبر,رئيس أشغال مخبر,2.0,Feuil1
2023,الأطباء البياطرة المتفقدين,طبيب بيطري متفقّد مركزي,1.0,Feuil1
2023,الأطباء البياطرة المتفقدين,طبيب بيطري متفقّد جهوي,6.0,Feuil1
2023,الأطباء البياطرة الصحيين,طبيب بيطري صحّي رئيس,1.0,Feuil1
2023,الأطباء البياطرة الصحيين,طبيب بيطري صحّي أول,2.0,Feuil1
2023,الأطباء البياطرة الصحيين,طبيب بيطري صحّي,4.0,Feuil1
2023,سلك المعالجة الآلية للإعلامية,محلل مركزي,1.0,Feuil1
2023,سلك المعالجة الآلية للإعلامية,محلل,1.0,Feuil1
2023,سلك المعالجة الآلية للإعلامية,واضع برامج,2.0,Feuil1
2023,سلك المعالجة الآلية للإعلامية,تقني مخبر إعلامية,1.0,Feuil1
2023,سلك العملة,عملة الوحدة الأولى,58.0,Feuil1
2023,سلك العملة,عملة الوحدة الثانية,156.0,Feuil1
2023,سلك العملة,عملة الوحدة الثالثة,18.0,Feuil1
2024,السلك الإداري,متصرف عام,2.0,Feuil1
2024,السلك الإداري,متصرّف رئيس,1.0,Feuil1
2024,السلك الإداري,متصرّف مستشار,10.0,Feuil1
2024,السلك الإداري,متصرّف,9.0,Feuil1
2024,السلك الإداري,متصرف مساعد,4.0,Feuil1
2024,السلك الإداري,كاتب تصرّف,13.0,Feuil1
2024,السلك الإداري,مستكتب إدارة,3.0,Feuil1
2024,سلك المتصرفين في الوثائق والأرشيف,متصرّف في الوثائق والأرشيف,1.0,Feuil1
2024,سلك المتصرفين في الوثائق والأرشيف,مكتبي مساعد أوموثق,1.0,Feuil1
2024,سلك المهندسين,مهندس عامّ,3.0,Feuil1
2024,سلك المهندسين,مهندس رئيس,30.0,Feuil1
2024,سلك المهندسين,مهندس أوّل,15.0,Feuil1
2024,سلك المهندسين,مهندس أشغال,4.0,Feuil1
2024,سلك التقنيين,تقني رئيس أول,2.0,Feuil1
2024,سلك التقنيين,تقني رئيس,14.0,Feuil1
2024,سلك التقنيين,تقني أوّل,21.0,Feuil1
2024,سلك التقنيين,تقني,37.0,Feuil1
2024,سلك التقنيين,مساعد تقني,15.0,Feuil1
2024,سلك التقنيين,عون تقني,8.0,Feuil1
2024,سلك الإطارات المشتركة للمخبر,رئيس مخبر,1.0,Feuil1
2024,سلك الإطارات المشتركة للمخبر,رئيس أشغال مخبر,2.0,Feuil1
2024,الأطباء البياطرة المتفقدين,طبيب بيطري متفقّد مركزي,,Feuil1
2024,الأطباء البياطرة المتفقدين,طبيب بيطري متفقّد جهوي,6.0,Feuil1
2024,الأطباء البياطرة الصحيين,طبيب بيطري صحّي رئيس,1.0,Feuil1
2024,الأطباء البياطرة الصحيين,طبيب بيطري صحّي أول,2.0,Feuil1
2024,الأطباء البياطرة الصحيين,طبيب بيطري صحّي,4.0,Feuil1
2024,سلك المعالجة الآلية للإعلامية,محلل رئيس,1.0,Feuil1
2024,سلك المعالجة الآلية للإعلامية,محلل مركزي,,Feuil1
2024,سلك المعالجة الآلية للإعلامية,محلل,1.0,Feuil1
2024,سلك المعالجة الآلية للإعلامية,واضع برامج,2.0,Feuil1
2024,سلك المعالجة الآلية للإعلامية,تقني مخبر إعلامية,1.0,Feuil1
2024,سلك العملة,عملة الوحدة الأولى,39.0,Feuil1
2024,سلك العملة,عملة الوحدة الثانية,159.0,Feuil1
2024,سلك العملة,عملة الوحدة الثالثة,13.0,Feuil1
