unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,feuille
,,,,,,الجمهورية التونسية,P2
,,,,,,,P2
,,,,,,,P2
,,,,,,,P2
,,,,,,,P2
0.0,11.0,0.0,507.58,0.0,7.0,تونس,P2
3.0,0.0,1542.5,0.0,6.0,0.0,أريانة,P2
15.0,0.0,6249.703,0.0,10.0,0.0,بن عروس,P2
84.0,76.0,27923.677,23057.72,57.0,58.0,نابل,P2
34.0,7.0,9151.009,9673.489,25.0,26.0,زغوان,P2
62.0,83.0,6205.65,8822.55,37.0,34.0,بنزرت,P2
39.0,5.0,14337.614,775.0,28.0,5.0,منوبة,P2
237.0,182.0,65410.0,42836.0,163.0,130.0,الشمال الشرقي,P2
24.0,37.0,7476.76,4976.51,30.0,47.0,باجة,P2
49.0,19.0,12360.575,9273.234,86.0,68.0,جندوبة,P2
20.0,36.0,6743.952,3621.885,72.0,36.0,الكاف,P2
63.0,19.0,9626.256,2776.031,65.0,27.0,سليانة,P2
156.0,111.0,36208.0,20648.0,253.0,178.0,الشمال الغربي,P2
76.0,131.0,9922.915,13368.297,84.0,133.0,القيروان,P2
106.0,149.0,12858.462,15676.878,122.0,148.0,القصرين,P2
147.0,177.0,10839.182,18574.742,105.0,195.0,سيدي بوزيد,P2
329.0,457.0,33621.0,47620.0,311.0,476.0,الوسط الغربي,P2
,21.0,3954.0,2485.85,1.0,17.0,سوسة,P2
79.0,62.0,8564.3,5217.6,24.0,31.0,المنستير,P2
68.0,46.0,15739.0,4538.5,41.0,30.0,المهدية,P2
67.0,94.0,15469.261,10202.376,68.0,73.0,صفاقس,P2
214.0,223.0,43727.0,22444.0,134.0,151.0,الوسط الشرقي,P2
81.0,118.0,6680.685,9336.024,72.0,93.0,قفصة,P2
16.0,13.0,2254.657,2104.067,41.0,32.0,توزر,P2
52.0,0.0,3928.291,0.0,56.0,0.0,قبلي,P2
149.0,131.0,12864.0,11440.0,169.0,125.0,الجنوب الغربي,P2
80.0,57.0,30591.724,8040.827,115.0,79.0,قابس,P2
101.0,136.0,7791.239,8172.795,92.0,121.0,مدنين,P2
31.0,52.0,2946.0,4964.78,42.0,62.0,تطاوين,P2
212.0,245.0,41329.0,21178.0,249.0,262.0,الجنوب الشرقي,P2
1297.0,1349.0,233159.0,166167.0,1279.0,1322.0,المجموع العام,P2
,,,,,,* منها,P2
15.0,23.0,6015.25,10103.757,4.0,5.0,شركات إحياء,P2
0.0,0.0,0.0,0.0,0.0,0.0,شركات مختلطة,P2
239.0,214.0,25677.526,19945.786,230.0,205.0,باعثون شبان,P2
48.0,52.0,11574.879,7943.965,96.0,99.0,نساء باعثات,P2
10.0,4.0,1859.239,1572.0,10.0,7.0,مواطنون بالخارج,P2
