مواطن_شغل_2022,مواطن_شغل_2021,قيمة_استثمارات_2022,قيمة_استثمارات_2021,عدد_عمليات_استثمار2022,عدد_عمليات_استثمار_2021,unnamed_6,feuille
20.0,24.0,1743.242,1067.656,11.0,13.0,تونس,P2
14.0,23.0,3955.3,6050.118,24.0,19.0,أريانة,P2
54.0,47.0,24434.336,4718.666,22.0,24.0,بن عروس,P2
228.0,224.0,49806.46,52908.412,140.0,117.0,نابل,P2
52.0,124.0,18409.792,41249.501,93.0,90.0,زغوان,P2
367.0,415.0,31976.935,43198.884,161.0,173.0,بنزرت,P2
68.0,32.0,18901.769,4318.0,65.0,27.0,منوبة,P2
803.0,889.0,149228.0,153511.0,516.0,463.0,الشمال الشرقي,P2
108.0,200.0,26759.927,33231.577,171.0,122.0,باجة,P2
116.0,74.0,33179.934,30999.013,229.0,176.0,جندوبة,P2
83.0,101.0,24070.992,13288.801,205.0,118.0,الكاف,P2
121.0,126.0,20250.995,15828.794,130.0,91.0,سليانة,P2
428.0,501.0,104262.0,93348.0,735.0,507.0,الشمال الغربي,P2
278.0,349.0,36670.412,37462.62,224.0,300.0,القيروان,P2
351.0,400.0,44789.355,45003.713,441.0,377.0,القصرين,P2
354.0,456.0,29287.576,42848.676,279.0,462.0,سيدي بوزيد,P2
983.0,1205.0,110747.0,125315.0,944.0,1139.0,الوسط الغربي,P2
46.0,51.0,13280.351,9440.45,14.0,35.0,سوسة,P2
120.0,198.0,18987.252,16894.6,57.0,66.0,المنستير,P2
191.0,154.0,55176.65,24417.055,97.0,94.0,المهدية,P2
239.0,295.0,82133.049,58740.608,167.0,155.0,صفاقس,P2
596.0,698.0,169577.0,109493.0,335.0,350.0,الوسط الشرقي,P2
200.0,322.0,21966.936,25587.866,183.0,243.0,قفصة,P2
38.0,44.0,5918.509,7406.392,93.0,135.0,توزر,P2
90.0,90.0,7780.054,8183.064,106.0,97.0,قبلي,P2
328.0,456.0,35665.0,41177.0,382.0,475.0,الجنوب الغربي,P2
128.0,112.0,41515.093,25214.307,208.0,209.0,قابس,P2
217.0,299.0,22424.499,16777.506,181.0,218.0,مدنين,P2
69.0,128.0,7286.8,12084.68,93.0,138.0,تطاوين,P2
414.0,539.0,71226.0,54076.0,482.0,565.0,الجنوب الشرقي,P2
3552.0,4288.0,640705.0,576920.0,3394.0,3499.0,المجموع العام,P2
,,,,,,* منها,P2
18.0,354.0,10308.143,55671.213,15.0,32.0,شركات إحياء,P2
14.0,65.0,4613.0,20551.7,3.0,8.0,شركات مختلطة,P2
801.0,833.0,83783.929,83907.281,791.0,793.0,باعثون شبان,P2
91.0,274.0,28329.305,23289.419,253.0,256.0,نساء باعثات,P2
19.0,33.0,3646.228,3259.843,26.0,28.0,مواطنون بالخارج,P2
