unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,feuille
,,,,,,الجمهورية التونسية,P2
,,,,,,,P2
,,,,,,,P2
,,,,,,,P2
,,,,,,,P2
18.0,21.0,1708.742,857.856,9.0,10.0,تونس,P2
12.0,8.0,3743.0,1144.017,17.0,9.0,أريانة,P2
28.0,41.0,9406.46,2906.786,16.0,15.0,بن عروس,P2
149.0,180.0,34470.022,44659.933,84.0,87.0,نابل,P2
45.0,98.0,15190.035,22912.223,65.0,48.0,زغوان,P2
205.0,181.0,15847.885,21025.626,83.0,73.0,بنزرت,P2
63.0,26.0,17717.678,3241.0,48.0,17.0,منوبة,P2
520.0,555.0,98084.0,96747.0,322.0,259.0,الشمال الشرقي,P2
70.0,95.0,19461.486,17192.431,100.0,100.0,باجة,P2
83.0,58.0,24007.223,23818.112,180.0,129.0,جندوبة,P2
37.0,97.0,15594.926,10997.018,123.0,92.0,الكاف,P2
106.0,100.0,20372.634,12148.77,105.0,55.0,سليانة,P2
296.0,350.0,79436.0,64156.0,508.0,376.0,الشمال الغربي,P2
226.0,245.0,29376.255,27404.778,183.0,221.0,القيروان,P2
270.0,284.0,36195.42,32619.936,345.0,278.0,القصرين,P2
268.0,339.0,22400.76,35012.198,208.0,378.0,سيدي بوزيد,P2
764.0,868.0,87972.0,95037.0,736.0,877.0,الوسط الغربي,P2
32.0,31.0,12691.08,5056.45,10.0,29.0,سوسة,P2
116.0,119.0,18121.8,11010.1,49.0,43.0,المنستير,P2
148.0,107.0,45120.65,16890.9,86.0,53.0,المهدية,P2
188.0,140.0,52793.979,29761.602,137.0,116.0,صفاقس,P2
484.0,397.0,128728.0,62719.0,282.0,241.0,الوسط الشرقي,P2
159.0,209.0,13977.445,16282.83,139.0,162.0,قفصة,P2
34.0,32.0,5063.264,5139.763,81.0,91.0,توزر,P2
81.0,49.0,6835.347,4812.993,91.0,50.0,قبلي,P2
274.0,290.0,25876.0,26236.0,311.0,303.0,الجنوب الغربي,P2
96.0,83.0,37263.167,12927.55,169.0,138.0,قابس,P2
179.0,248.0,17846.987,13789.606,154.0,181.0,مدنين,P2
61.0,96.0,6191.9,9244.98,77.0,96.0,تطاوين,P2
336.0,427.0,61302.0,35962.0,400.0,415.0,الجنوب الشرقي,P2
2674.0,2887.0,481398.0,380857.0,2559.0,2471.0,المجموع العام,P2
,,,,,,* منها,P2
70.0,278.0,14608.0,52346.928,13.0,27.0,شركات إحياء,P2
14.0,65.0,4533.0,17579.7,2.0,7.0,شركات مختلطة,P2
432.0,412.0,47083.516,41793.554,426.0,396.0,باعثون شبان,P2
82.0,48.0,21671.386,14574.625,192.0,172.0,نساء باعثات,P2
17.0,22.0,3449.981,5808.801,23.0,13.0,مواطنون بالخارج,P2
