unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,feuille
,,,,,,الجمهورية التونسية,P2
,,,,,,,P2
,,,,,,,P2
,,,,,,,P2
,,,,,,الولايات,P2
,,,,,,,P2
18.0,21.0,1708.742,857.856,9.0,10.0,تونس,P2
12.0,8.0,3743.0,1144.017,17.0,9.0,أريانة,P2
31.0,41.0,9790.336,2906.786,20.0,15.0,بن عروس,P2
213.0,204.0,44421.121,48251.918,120.0,113.0,نابل,P2
45.0,103.0,15190.035,26049.73,65.0,76.0,زغوان,P2
365.0,178.0,31050.935,20758.626,160.0,71.0,بنزرت,P2
63.0,26.0,17717.678,3241.0,48.0,17.0,منوبة,P2
747.0,581.0,123622.0,103210.0,439.0,311.0,الشمال الشرقي,P2
70.0,95.0,19461.486,17192.431,100.0,100.0,باجة,P2
83.0,58.0,24007.223,23818.112,180.0,129.0,جندوبة,P2
69.0,97.0,21129.457,10997.018,175.0,92.0,الكاف,P2
119.0,98.0,22650.282,11903.413,123.0,53.0,سليانة,P2
341.0,348.0,87248.0,63911.0,578.0,374.0,الشمال الغربي,P2
254.0,304.0,32290.44,33338.015,204.0,267.0,القيروان,P2
325.0,333.0,42004.328,37164.495,414.0,315.0,القصرين,P2
306.0,393.0,25226.085,39347.659,237.0,420.0,سيدي بوزيد,P2
885.0,1030.0,99521.0,109850.0,855.0,1002.0,الوسط الغربي,P2
32.0,31.0,12691.08,5056.45,10.0,29.0,سوسة,P2
120.0,107.0,18987.252,11010.1,57.0,43.0,المنستير,P2
148.0,123.0,45120.65,18088.9,86.0,65.0,المهدية,P2
188.0,140.0,58793.979,29761.602,138.0,116.0,صفاقس,P2
488.0,401.0,135593.0,63917.0,291.0,253.0,الوسط الشرقي,P2
181.0,273.0,16034.297,20903.89,161.0,206.0,قفصة,P2
34.0,36.0,5063.264,6086.012,81.0,111.0,توزر,P2
91.0,49.0,7780.054,4812.993,106.0,50.0,قبلي,P2
306.0,358.0,28878.0,31803.0,348.0,367.0,الجنوب الغربي,P2
128.0,102.0,41515.093,16819.285,208.0,182.0,قابس,P2
189.0,296.0,20507.987,16511.806,155.0,215.0,مدنين,P2
69.0,96.0,7286.8,9244.98,93.0,96.0,تطاوين,P2
386.0,494.0,69310.0,42576.0,456.0,493.0,الجنوب الشرقي,P2
3153.0,3212.0,544172.0,415267.0,2967.0,2800.0,المجموع العام,P2
,,,,,,* منها,P2
16.0,217.0,9844.452,41156.434,11.0,22.0,شركات إحياء,P2
14.0,65.0,4613.0,17579.7,3.0,7.0,شركات مختلطة,P2
556.0,469.0,55819.447,46937.73,503.0,442.0,باعثون شبان,P2
89.0,59.0,25887.703,15957.569,227.0,190.0,نساء باعثات,P2
17.0,29.0,3467.981,6839.411,24.0,22.0,مواطنون بالخارج,P2
