annee,gouvernorat,valeur_production_1000_dinars,feuille
2008,جندوبة و باجة,7799,Feuil1
2008,بنزرت,29128,Feuil1
2008,اريانة,765,Feuil1
2008,تونس و بن عروس,16797,Feuil1
2008,نابل,26617,Feuil1
2008,سوسة,31177,Feuil1
2008,المنستير,36539,Feuil1
2008,المهدية,52721,Feuil1
2008,صفاقس,71122,Feuil1
2008,قابس,15454,Feuil1
2008,مدنين,70401,Feuil1
2008,ولايات اخرى,627,Feuil1
2009,جندوبة و باجة,6063,Feuil1
2009,بنزرت,24343,Feuil1
2009,اريانة,761,Feuil1
2009,تونس و بن عروس,11505,Feuil1
2009,نابل,27983,Feuil1
2009,سوسة,19978,Feuil1
2009,المنستير,45309,Feuil1
2009,المهدية,57056,Feuil1
2009,صفاقس,81738,Feuil1
2009,قابس,15067,Feuil1
2009,مدنين,70937,Feuil1
2009,ولايات اخرى,625,Feuil1
2010,جندوبة و باجة,7827,Feuil1
2010,بنزرت,24982,Feuil1
2010,اريانة,788,Feuil1
2010,تونس و بن عروس,10566,Feuil1
2010,نابل,31166,Feuil1
2010,سوسة,22195,Feuil1
2010,المنستير,54262,Feuil1
2010,المهدية,50225,Feuil1
2010,صفاقس,96047,Feuil1
2010,قابس,16224,Feuil1
2010,مدنين,82529,Feuil1
2010,ولايات اخرى,688,Feuil1
2011,جندوبة و باجة,6869,Feuil1
2011,بنزرت,29493,Feuil1
2011,اريانة,881,Feuil1
2011,تونس و بن عروس,12691,Feuil1
2011,نابل,39227,Feuil1
2011,سوسة,28944,Feuil1
2011,المنستير,64777,Feuil1
2011,المهدية,72519,Feuil1
2011,صفاقس,75337,Feuil1
2011,قابس,14526,Feuil1
2011,مدنين,64861,Feuil1
2011,ولايات اخرى,298,Feuil1
2012,جندوبة و باجة,5718,Feuil1
2012,بنزرت,31487,Feuil1
2012,اريانة,1545,Feuil1
2012,تونس و بن عروس,14434,Feuil1
2012,نابل,45105,Feuil1
2012,سوسة,29698,Feuil1
2012,المنستير,74354,Feuil1
2012,المهدية,87243,Feuil1
2012,صفاقس,94945,Feuil1
2012,قابس,18642,Feuil1
2012,مدنين,62463,Feuil1
2012,ولايات اخرى,522,Feuil1
2013,جندوبة و باجة,6429,Feuil1
2013,بنزرت,33139,Feuil1
2013,اريانة,2031,Feuil1
2013,تونس و بن عروس,14408,Feuil1
2013,نابل,49696,Feuil1
2013,سوسة,33270,Feuil1
2013,المنستير,93269,Feuil1
2013,المهدية,107281,Feuil1
2013,صفاقس,112953,Feuil1
2013,قابس,19822,Feuil1
2013,مدنين,67060,Feuil1
2013,ولايات اخرى,646,Feuil1
2014,جندوبة و باجة,7938,Feuil1
2014,بنزرت,40859,Feuil1
2014,اريانة,1660,Feuil1
2014,تونس و بن عروس,11327,Feuil1
2014,نابل,50515,Feuil1
2014,سوسة,42788,Feuil1
2014,المنستير,92336,Feuil1
2014,المهدية,145856,Feuil1
2014,صفاقس,142575,Feuil1
2014,قابس,23502,Feuil1
2014,مدنين,76513,Feuil1
2014,ولايات اخرى,681,Feuil1
2015,جندوبة و باجة,7597,Feuil1
2015,بنزرت,40562,Feuil1
2015,اريانة,1271,Feuil1
2015,تونس و بن عروس,19910,Feuil1
2015,نابل,65180,Feuil1
2015,سوسة,40806,Feuil1
2015,المنستير,120239,Feuil1
2015,المهدية,161909,Feuil1
2015,صفاقس,172543,Feuil1
