السنة,المعتمدية,الاراضي_الصالحة_للزراعة,المساحة_المحترثة,مراعي_محسنة_بملك_الدولة_الغابي_داخل_منابت_الحلفاء_1,مراعي_طبيعية_بملك_الدولة_الغابي_داخل_منابت_الحلفاء_منابت_الحلفاء_بالاراضي_الاشتراكية_2,الحلفاء_12,غابات_محدثة_حوالي_20_منها_داخل_منابت_الحلفاء,عدد_المناطق_الرطبة_بحيرات_وديان_وسباخ,مكان_المناطق_الرطبة_بحيرات_وديان_وسباخ,عدد_الغابات_الطبيعية_الحدايق_الوطنية_والمحميات_الطبيعية,مكان_الغابات_الطبيعية_الحدايق_الوطنية_والمحميات_الطبيعية,feuille
2021,بوزيد الغربية,39848.0,27851.0,508.244576524111,4891.9336483524385,5387.594267203886,1349.014265518571,6000.0,قرعة النقاضة,,,Feuil1
2021,بوزيد الشرقية,66830.0,53045.0,2539.1939621553884,8515.403095691545,11028.836689268086,1236.7664824572678,,,,,Feuil1
2021,المكناسي,50906.0,39234.0,449.40588303429365,10552.542608430054,10976.31080908275,705.1201645032772,,,,,Feuil1
2021,الرقاب-السعيدة,90247.0,77597.0,768.9608562979563,11662.073942649753,12402.06693729145,601.8946110429173,,,2000.0,المحمية الطبيعية  بريحانة,Feuil1
2021,جلمة,53565.0,33532.0,1218.6603789059295,10133.719519206583,11325.925610462571,187.75992802981622,,,4066.0,الحديقة الوطنية بجبل مغيلة,Feuil1
2021,السبالة,29302.0,23533.0,598.5315372240029,4048.2900032340362,4635.993119035173,337.01975652574316,,,3584.0,,Feuil1
2021,بن عون,50324.0,32223.0,2095.8748405165934,13208.420766107298,15268.632226619782,960.2287623698753,,,,,Feuil1
2021,المزونة,67413.0,51478.0,385.4948883815612,11745.038898271587,12102.26617818518,62.86912889318144,17500.0,15000 سبخة النوايل + 2500 سيدي منصور,10978.0,الحديقة الوطنية بوهدمة,Feuil1
2021,أولاد حفوز,36375.0,31210.0,768.9608562979563,2640.8844909985987,3401.89943371114,893.5661434489886,,,,,Feuil1
2021,بئر الحفي,41317.0,38949.0,1208.2221370064194,11684.064653778432,12862.244080243983,760.613395461769,,,,,Feuil1
2021,منزل بوزيان,44182.0,34235.0,789.2500609496176,12216.839609759603,12975.781766953543,594.6801208420604,,,,,Feuil1
2021,السوق الجديد,21845.0,17500.0,990.2878700893956,9969.788763520068,10934.536524616184,250.4458741154605,,,,,Feuil1
2021,الجملة,592154.0,460087.0,12321.0,111269.0,123302.0,7940.0,23500.0,,20628.0,,Feuil1
2022,بوزيد الغربية,24437.36,17694.4456,251.0,2957.0,1347.0,370.0,6000.0,قرعة النقاضة,,,Feuil1
2022,الهشرية,15410.64,10941.554399999999,250.0,2364.0,4041.0,1103.0,,,,,Feuil1
2022,بوزيد الشرقية,66830.0,55836.0,2719.0,7876.0,11028.836689268086,922.0,,,,,Feuil1
2022,المكناسي,50906.0,39234.0,465.0,10535.0,10976.31080908275,714.0,,,,,Feuil1
2022,الرقاب,64673.0,55608.0,712.0,9033.0,10045.62,500.0,,,2000.0,المحمية الطبيعية  بريحانة,Feuil1
2022,السعيدة,25574.0,21989.0,150.0,2530.0,2356.379999999999,121.0,,,,,Feuil1
2022,جلمة,53565.0,33738.0,1115.0,10125.0,11325.925610462571,180.0,,,4066.0,الحديقة الوطنية بجبل مغيلة,Feuil1
2022,السبالة,29302.0,23533.0,590.0,4050.0,4635.993119035173,355.0,,,3584.0,,Feuil1
2022,بن عون,50324.0,32223.0,2066.0,13214.0,15268.632226619782,953.0,,,,,Feuil1
2022,المزونة,67413.0,52798.0,380.0,11750.0,12102.26617818518,61.0,17500.0,15000 سبخة النوايل + 2500 سيدي منصور,10978.0,الحديقة الوطنية بوهدمة,Feuil1
2022,أولاد حفوز,36375.0,31808.0,758.0,2642.0,3401.89943371114,892.0,,,,,Feuil1
2022,بئر الحفي,41317.0,38949.0,1199.0,11681.0,12862.244080243983,738.0,,,,,Feuil1
2022,منزل بوزيان,44182.0,34235.0,830.0,12170.0,12975.781766953543,816.0,,,,,Feuil1
2022,السوق الجديد,21845.0,17500.0,916.0,9974.0,10934.536524616184,338.0,,,,,Feuil1
2022,الجملة,592154.0,466087.0,12401.0,110901.0,123302.42643817839,8063.0,23500.0,,20628.0,,Feuil1
