campagne_agricole,delegation,ble_dur,ble_tendre,orge,tritical,total,feuille
2021/2022,باجة ج.,17500.0,300.0,3200.0,400.0,21400.0,Feuil1
2021/2022,مجاز الباب,18500.0,1400.0,4500.0,400.0,24800.0,Feuil1
2021/2022,قبلاط,7500.0,1600.0,7100.0,300.0,16500.0,Feuil1
2021/2022,تستور,10000.0,1500.0,7000.0,300.0,18800.0,Feuil1
2021/2022,تبرسق,13000.0,1000.0,4000.0,200.0,18200.0,Feuil1
2021/2022,تيبار,2500.0,100.0,700.0,100.0,3400.0,Feuil1
2021/2022,عمدون,7500.0,50.0,250.0,500.0,8300.0,Feuil1
2021/2022,نفزة,6000.0,50.0,250.0,500.0,6800.0,Feuil1
2021/2022,Total,102000.0,6500.0,28000.0,3500.0,140000.0,Feuil1
2022/2023,باجة ش.,21000.0,800.0,700.0,1000.0,23500.0,Feuil1
2022/2023,باجة ج.,21000.0,300.0,2300.0,400.0,24000.0,Feuil1
2022/2023,مجاز الباب,20000.0,700.0,4600.0,200.0,25500.0,Feuil1
2022/2023,قبلاط,8000.0,1100.0,7000.0,200.0,16300.0,Feuil1
2022/2023,تستور,12000.0,1000.0,6600.0,400.0,20000.0,Feuil1
2022/2023,تبرسق,16200.0,500.0,4000.0,300.0,21000.0,Feuil1
2022/2023,تيبار,2800.0,50.0,400.0,250.0,3500.0,Feuil1
2022/2023,عمدون,8500.0,50.0,250.0,400.0,9200.0,Feuil1
2022/2023,نفزة,6500.0,0.0,150.0,350.0,7000.0,Feuil1
2022/2023,Total,116000.0,4500.0,26000.0,3500.0,150000.0,Feuil1
2023/2024,باجة ش.,21200.0,400.0,1500.0,900.0,24000.0,Feuil1
2023/2024,باجة ج.,21600.0,200.0,2500.0,300.0,24600.0,Feuil1
2023/2024,مجاز الباب,20700.0,600.0,4200.0,200.0,25700.0,Feuil1
2023/2024,قبلاط,8500.0,600.0,7200.0,200.0,16500.0,Feuil1
2023/2024,تستور,11150.0,500.0,6700.0,150.0,18500.0,Feuil1
2023/2024,تبرسق,16550.0,450.0,4200.0,300.0,21500.0,Feuil1
2023/2024,تيبار,2900.0,50.0,400.0,150.0,3500.0,Feuil1
2023/2024,عمدون,8400.0,100.0,300.0,400.0,9200.0,Feuil1
2023/2024,نفزة,6500.0,100.0,500.0,400.0,7500.0,Feuil1
2023/2024,Total,117500.0,3000.0,27500.0,3000.0,151000.0,Feuil1
