annee,nom_de_la_nappe,profondeur_m,salinite_g_l,ressources_disponibles_million_m3,ressources_exploitees_million_m3,taux_dexploitation,nombre_de_puits,nombre_de_puits_equipes,feuille
2023,قفصة الشمالية,من 16 إلى 100,"من 0,5 إلى 14",12.0,23.55,1.9625000000000001,4293,3624,Feuil1
2023,أم الأقصاب,من 12 إلى 30,من 1 إلى 2,8.3,8.63,1.0397590361445783,381,349,Feuil1
2023,قفصة الجنوبية-القطار,من 4 إلى 70,من 2 إلى 6,3.2,6.23,1.9468750000000001,1375,887,Feuil1
2023,أم العرائس-الرديف,من 11 إلى 35,من 2 إلى 10,2.7,6.99,2.588888888888889,1224,1030,Feuil1
2023,شط الغرسة,من 7 إلى 50,من 3 إلى 14,1.7,3.25,1.911764705882353,724,499,Feuil1
2023,عليم الدخلة,من 11 إلى 60,من 3 إلى 4,1.3,1.31,1.0076923076923077,72,21,Feuil1
2023,قرعة السند-ماجورة,من 35 إلى 82,من 1 إلى 4,1.2,1.26,1.05,236,189,Feuil1
2023,حوال الوادي,من 21 إلى 60,من 2 إلى 6,1.0,1.33,1.33,194,132,Feuil1
2023,أولاد منصور,من 5 إلى 30,من 4 إلى 10,0.6,0.26,0.43333333333333335,115,35,Feuil1
2023,بوعمران-بوسعد,من 4 إلى 48,من 2 إلى 7,0.3,0.12,0.4,55,23,Feuil1
2023,سبسب الحمارة,من 4 إلى 60,من 2 إلى 7,0.6,1.32,2.2,186,194,Feuil1
2023,سوينية الجبل,من 9 إلى 40,من 4 إلى 7,0.2,0.07,0.35000000000000003,18,4,Feuil1
2023,السند الجبل,من 4 إلى 32,من 1 إلى 4,0.2,0.07,0.35000000000000003,33,4,Feuil1
2023,المجموع,,,33.300000000000004,54.38999999999999,163.3333333333333,8906,6991,Feuil1
2024,قفصة الشمالية,من 16 إلى 100,"من 0,5 إلى 14",12.0,23.55,1.9625000000000001,4293,3624,Feuil1
2024,أم الأقصاب,من 12 إلى 30,من 1 إلى 2,8.3,8.63,1.0397590361445783,381,349,Feuil1
2024,قفصة الجنوبية-القطار,من 4 إلى 70,من 2 إلى 6,3.2,6.23,1.9468750000000001,1399,887,Feuil1
2024,أم العرائس-الرديف,من 11 إلى 35,من 2 إلى 10,2.7,6.99,2.588888888888889,1239,1030,Feuil1
2024,شط الغرسة,من 7 إلى 50,من 3 إلى 14,1.7,3.25,1.911764705882353,724,499,Feuil1
2024,عليم الدخلة,من 11 إلى 60,من 3 إلى 4,1.3,1.31,1.0076923076923077,72,21,Feuil1
2024,قرعة السند-ماجورة,من 35 إلى 82,من 1 إلى 4,1.2,1.26,1.05,236,189,Feuil1
2024,حوال الوادي,من 21 إلى 60,من 2 إلى 6,1.0,1.33,1.33,204,132,Feuil1
2024,أولاد منصور,من 5 إلى 30,من 4 إلى 10,0.6,0.26,0.43333333333333335,115,35,Feuil1
2024,بوعمران-بوسعد,من 4 إلى 48,من 2 إلى 7,0.3,0.12,0.4,55,23,Feuil1
2024,سبسب الحمارة,من 4 إلى 60,من 2 إلى 7,0.6,1.32,2.2,187,194,Feuil1
2024,سوينية الجبل,من 9 إلى 40,من 4 إلى 7,0.2,0.07,0.35000000000000003,18,4,Feuil1
2024,السند الجبل,من 4 إلى 32,من 1 إلى 4,0.2,0.07,0.35000000000000003,33,4,Feuil1
2024,المجموع,,,33.300000000000004,54.38999999999999,163.3333333333333,8956,6991,Feuil1
