annee,2009,2010,2011,2012,feuille
janvier,27.123,24.754,24.318225806451615,20.413000000000004,Feuil1
fevrier,27.123,24.754,22.515,20.413,Feuil1
mars,27.123,24.754,22.515,20.413,Feuil1
avril,27.123,24.754,22.515,20.413,Feuil1
mai,27.123,24.754,22.515,20.413,Feuil1
juin,27.123,22.522,22.515,20.049000000000003,Feuil1
juillet,27.123,22.522,22.515000000000004,20.049,Feuil1
aout,26.875,26.815,22.515,20.049,Feuil1
septembre,24.754,26.815,22.515,20.049,Feuil1
octobre,24.754,26.815,22.514999999999997,20.049,Feuil1
novembre,24.754,26.815,22.514999999999997,20.049,Feuil1
decembre,24.754,26.815,22.515,20.049,Feuil1
