n,titre,auteur,annee,nom_fichier,feuille
221.0,Etude stratégique du secteur de la pêche et de l'aquaculture en Tunisie : Analyse diagnostique relative aux données socio-économiques du secteur de la pêche et de l'aquaculture en Tunisie,"Direction Générale de la pêche et de l'Aquaculture, Groupe SAMEF",2013.0,1-P-AQ,Feuil1
325.0,مواسم الصيد البحري بتونس,AVFA,,2-P-AQ,Feuil1
337.0,Rapport de l'étude préparatoire pour le projet de construction de navires de surveillance pour la gestion des ressources halieutiques en république tunisienne,"Direction Génerale des Pêches et de l'Aquaculture, JICA",2020.0,3-P-AQ,Feuil1
338.0,"Protection des ressources marines du golf de Gabes : inventaire et suivi des espèces lagunaires, marines et introduites","INSTM, SERAH, Universitat d'Alacant",2011.0,4-P-AQ,Feuil1
339.0,نشرية وكالة موانئ و تجهيزات الصيد البحري عدد 3 جويلية 2018,APIP,2018.0,5-P-AQ,Feuil1
340.0,Projet de coopération technique avec le Japon sur la gestion durable des ressources de la pêche cotière en république tunisienne : Rapport final,"Direction Génerale des Pêches et de l'Aquaculture, JICA",2010.0,6-P-AQ,Feuil1
341.0,Planification aquacole en Tunisie / CIHEAM-Cahiers Options Méditerranéennes; n. 43,"Gazbar H., Direction Génerale des Pêches et de l'Aquaculture, CIHEAM",1999.0,7-P-AQ,Feuil1
342.0,Pour une aquaculture durable et prospère,CTA,,8-P-AQ,Feuil1
343.0,"Projet ""développement durable des communautés côtières du Gouvernorat de Médenine""NEMOII""Création d'une marque collective ""NEMO"" pour la promotion des produits de la pêche artisanale dans le gouvernorat de médenine","MARHPM, CIHEAM",2017.0,9-P-AQ,Feuil1
344.0,Projet de developpement de la pisciculture continentale en Tunisie : rapport de mission,"Ministere d'Agriculture, Olivier Mikolasek, CIRAD",1999.0,10-P-AQ,Feuil1
401.0,"Projet annuel de performance de la mission agriculture, ressources hydrauliques et pêche 2021","Ministère d'Agriculture, UE",2021.0,11-P-AQ,Feuil1
402.0,"Etude stratégique du secteur de la pêche et de l'aquaculture en Tunisie, Phase 1:  diagnostic de la situation actuelle : etude et analyse des structures administratives et professionnelles","Direction Générale de la pêche et de l'Aquaculture, Groupe SAMEF",2013.0,12-P-AQ,Feuil1
403.0,Projet de coopération technique avec le Japon sur la gestion durable des ressources de la pêche cotière en république tunisienne (Projet),"Direction Génerale des Pêches et de l'Aquaculture, JICA",2005.0,13-P-AQ,Feuil1
404.0,"Projet ""développement durable des communités côtières du gouvernorat de Médenine""NEMOII"" : création d'une marque collective ""NEMO"" pour la promotion des produits de la pêche artisanales dans le gouvernorat de Medenine","Ministere d'Agriculture, CIHEAM, Agenzia italiana per la cooperezione",2017.0,14-P-AQ,Feuil1
405.0,Atelier national sur la valorisation des résultats de la recherche dans le domaine de la pêche et de laquaculture,"GIPP, IRESA, Centre technique d'aquaculture",2014.0,15-P-AQ,Feuil1
411.0,Projet d'atténuation des interactions négatives entre les espèces marines menacées et les activités de la pêche  : atténuation des interactions négatives entre les espèces marines menacées (Delphinidés et oiseaux marins) et les activités de pêche des petits pélagiques dans la région de Kélibia (Tunisie),"Benmessaoud Rimel, INSTM, INAT",2018.0,16-P-AQ,Feuil1
412.0,Atelier de travail sur les nouvelles perspectives de la recherche scientifique en aquaculture : compte-rendu de mission en Tunisie (13-17 juin 2005),"INSTM, Cemagref, Ifremer",2005.0,17-P-AQ,Feuil1
439.0,مواسم الصيد البحري المقننة في تونس /Compagnes de pêche règlementées en Tunisie,"AVFA, Direction Générale de la Pêche et de L'Aquaculture",,18-P-AQ,Feuil1
440.0,دليل البحار في فن العقد,"AVFA, Ghozzi Lotfi, Bannouri Hiba",,19-P-AQ,Feuil1
474.0,Les programmes et Aquis de la Recherche dans les secteurs de la pêche et de l'Aquaculture,"IRESA, Harbaoui AMEL, Ben Rayana ANIS",2014.0,20-P-AQ,Feuil1
478.0,Code des eaux et ses textes d'application,Ministere d'Agriculture,2017.0,21-P-AQ,Feuil1
609.0,Etude stratégique du decteur de la pêche et de l'aquaculture en Tunisie: phase 1 diagnostic de la situation actuelle : etude et analyse des structures administratives et professionnelles,MARHP/Direction Générale de la Pêche et de l'Aquaculture DGPA / SAMEF,2013.0,22-P-AQ,Feuil1
641.0,Mission de diagnostic des navires sardiniers Tunisiens : rapport final,"APIA, OCEAN CONSEIL",2007.0,23-P-AQ,Feuil1
643.0,Recensement général de la pêche 2003-2004 : principaux résultats,DGEDA,2004.0,24-P-AQ,Feuil1
645.0,Etude sur le positionnement de la sardine tunisienne : rapport final,"APIA, AND TNTERNATIONAL",2005.0,25-P-AQ,Feuil1
646.0,Action ERACHID: Essais répulsifs acoustiques et chalutage innovation et développement,INSTM,2006.0,26-P-AQ,Feuil1
,"Etude de marché des produits aquacoles marins en Tunisie cas loup et daurade phase 1 : diagnostic, analyse critique de la situation actuelle du marché national et international des produits aquacoles :  loup et daurade Activité 1,3 : étude et analyse des systèmes de gouvernance des fermes de pisciculture marine rapport final",GIPP,2018.0,27-P-AQ,Feuil1
,Guide du marin pêcheur en Tunisie / دليل الصياد البحري بتونس,"FAO, ArtFiMed,  Othman Jarboui (INSTM)",2011.0,28-P-AQ,Feuil1
,Des services efficaces aux profits des professionnels de la filière,GIPP,,29-P-AQ,Feuil1
,Rapport de la journée nationales de concertation pour la mise en place d'une approche stratégique de développement de la pêche artisanale en Tunisie,"MARHP, INSTM, FAO",2011.0,30-P-AQ,Feuil1
,Etude sur le positionnement du crabe tunisien sur le marché international phase 1 : Analyse du marché national (rapport final),GIPP,2018.0,31-P-AQ,Feuil1
,Etude d'extension et d'aménagement du port de pêche de Menzel Abderrahmane  Projet : Programme intégré pour la dépollution de la région du lac de Bizerte. Financement : Budget de l'UE (Facilité d’Investissement pour le Voisinage) Phase I-1 : Etude critique du développement des secteurs de la Pêche et de l’Aquaculture et détermination des besoins du port,"MARHP, Direction Générale de la Pêche et de l'AquacultureDGPA, DGSAM",2019.0,32-P-AQ,Feuil1
,Le Changement Climatique et ses effets sur le secteur de la Pêche en Tunisie /SIAT 2016,"Houssam HAMZA, MARHP",2016.0,33-P-AQ,Feuil1
,Pêche artisanale en Tunisie : Contribution des femmes,"CHAHBANI Jawhara, CIHEAM",2022.0,34-P-AQ,Feuil1
,أهم منتجات الصيد البحري في تونس /Principaux produits de la pêche en Tunisie /Main fishery products in Tunisia,GIPP,2015.0,45-P-AQ,Feuil1
,"La pêche artisanale à Ghannouch (Tunisie) passé, present, avenir","Ridha M’Rabet, Othman Jarboui, Juan Antonio Camiñas, Matthieu Bernardon, INSTM, FAO",2011.0,46-P-AQ,Feuil1
,Stratégie commerciale des produits aquacoles en Tunisie / Cahiers Options Méditerranéennes; n. 17,"Gazbar H., MARHP, CIHEAM",1996.0,47-P-AQ,Feuil1
,دليل شركات الأحياء المائية بتونس /Guide des fermes aquacoles en Tunisie / Tunisian aquaculture frms directory,CTA,2000.0,48-P-AQ,Feuil1
,"Etude stratégique du secteur de la pêche et de l'aquaculture en Tunisie : phase 1 : diagnostic de la situation actuelle , Activité 1-3 : Etude et analyse des structures administratives et professionnelles","MARHP, DGPA, SAMEF",2013.0,49-P-AQ,Feuil1
,Guide technique d'aquaculture multi trophique intègrée en Tunisie / Projet PATINER,"CTA, INSTM",,50-P-AQ,Feuil1
